FECHA,Transporte,Ruta,Repartidor,Destinatario mcía.,Entrega,Material,Denominación,Cantidad entrega,Un.medida venta,Destinatario mcía.,Nombre 1,Nombre 2,Calle,CP,Población,ZonaTransp,ZonaTransp,
30/01/2026,11420136,DA0216,855203,JACINT MAS CORNET,827937019,0CF0357,BONKA ESSENTIA ESPRESSO ITALIANO 1KG,2,UN,9100696143,LOS TERESITOS,LOS TERESITOS,Carrer Llevant 2,08110,MONTCADA I REIXAC,DD13100043,MONTCADA I REIXAC,
30/01/2026,11420136,DA0216,855203,JACINT MAS CORNET,827937019,0AM1290,XPLICIT AZUCAR 7GR  1000U,1,CAJ,9100696143,LOS TERESITOS,LOS TERESITOS,Carrer Llevant 2,08110,MONTCADA I REIXAC,DD13100043,MONTCADA I REIXAC,
30/01/2026,11420136,DA0216,855203,JACINT MAS CORNET,827937019,0AM1634,XPLICIT EDULCORANTE 1G 150U,1,ZPR,9100696143,LOS TERESITOS,LOS TERESITOS,Carrer Llevant 2,08110,MONTCADA I REIXAC,DD13100043,MONTCADA I REIXAC,
30/01/2026,11420334,DR0054,855205,JORGE ESCALANTE GUARERAY,827937482,0AG0007,"FONT D.OR NATURAL 1,5L PET 12U",38,CAJ,9100582098,HOSPITAL DE MANLLEU CUINA,HOSPITAL DE MANLLEU CUINA,CARRETERA D'OLOT 7,08560,MANLLEU,DD13100058,MANLLEU,
30/01/2026,11420334,DR0054,855205,JORGE ESCALANTE GUARERAY,827937484,0ZU0027,LAMBDA MELOCOTON SIN 20CL 24U,2,CAJ,9100582034,HOSPITAL DE MANLLEU CAFETERIA,HOSPITAL DE MANLLEU CAFETERIA,Carretera d'Olot 7,08560,MANLLEU,DD13100058,MANLLEU,
30/01/2026,11420334,DR0054,855205,JORGE ESCALANTE GUARERAY,827937484,0ZU0028,LAMBDA NARANJA SIN 20CL 24U,2,CAJ,9100582034,HOSPITAL DE MANLLEU CAFETERIA,HOSPITAL DE MANLLEU CAFETERIA,Carretera d'Olot 7,08560,MANLLEU,DD13100058,MANLLEU,
30/01/2026,11420334,DR0054,855205,JORGE ESCALANTE GUARERAY,827937487,ED13,ESTRELLA DAMM 1/3 RET. PP,2,CAJ,9100374147,BAR OLIVEDA,BAR OLIVEDA,CARRETERA RODA 18,08560,MANLLEU,DD13100058,MANLLEU,
30/01/2026,11420334,DR0054,855205,JORGE ESCALANTE GUARERAY,827937487,CJ13,CAJA DAMM+BOT.1/3RET VACIO EN P.PLAS.A13,2,CAJ,9100374147,BAR OLIVEDA,BAR OLIVEDA,CARRETERA RODA 18,08560,MANLLEU,DD13100058,MANLLEU,
30/01/2026,11420334,DR0054,855205,JORGE ESCALANTE GUARERAY,827937487,0AG0183,VICHY CATALAN GAS 30CL RET 24U,2,CAJ,9100374147,BAR OLIVEDA,BAR OLIVEDA,CARRETERA RODA 18,08560,MANLLEU,DD13100058,MANLLEU,
30/01/2026,11420334,DR0054,855205,JORGE ESCALANTE GUARERAY,827937487,3ENV0236,C.C. AGUA 1/3 VICHY-FONT D'OR,2,CAJ,9100374147,BAR OLIVEDA,BAR OLIVEDA,CARRETERA RODA 18,08560,MANLLEU,DD13100058,MANLLEU,
30/01/2026,11420334,DR0054,855205,JORGE ESCALANTE GUARERAY,827937487,0RF0014,ZALA GASEOSA 50CL VID. RET 20U,2,CAJ,9100374147,BAR OLIVEDA,BAR OLIVEDA,CARRETERA RODA 18,08560,MANLLEU,DD13100058,MANLLEU,
30/01/2026,11420334,DR0054,855205,JORGE ESCALANTE GUARERAY,827937487,3ENV0060,C.C.GASEOSA ZALA SANMY 1/2,2,CAJ,9100374147,BAR OLIVEDA,BAR OLIVEDA,CARRETERA RODA 18,08560,MANLLEU,DD13100058,MANLLEU,
30/01/2026,11420334,DR0054,855205,JORGE ESCALANTE GUARERAY,827937487,ED13,ESTRELLA DAMM 1/3 RET. PP,1,CAJ,9100374147,BAR OLIVEDA,BAR OLIVEDA,CARRETERA RODA 18,08560,MANLLEU,DD13100058,MANLLEU,
30/01/2026,11420334,DR0054,855205,JORGE ESCALANTE GUARERAY,827937487,CJ13,CAJA DAMM+BOT.1/3RET VACIO EN P.PLAS.A13,1,CAJ,9100374147,BAR OLIVEDA,BAR OLIVEDA,CARRETERA RODA 18,08560,MANLLEU,DD13100058,MANLLEU,
30/01/2026,11420334,DR0054,855205,JORGE ESCALANTE GUARERAY,827937489,0AG0011,VICHY CATALAN GAS 1/2 RET 20U,4,CAJ,9100159254,COMERCIAL F.LEIVA,COMERCIAL F.LEIVA,CALLE SOGORB 79,08560,MANLLEU,DD13100058,MANLLEU,
30/01/2026,11420334,DR0054,855205,JORGE ESCALANTE GUARERAY,827937489,3ENV0041,C.C. AGUA 1/2 VICHY-FONT D'OR,4,CAJ,9100159254,COMERCIAL F.LEIVA,COMERCIAL F.LEIVA,CALLE SOGORB 79,08560,MANLLEU,DD13100058,MANLLEU,
30/01/2026,11420334,DR0054,855205,JORGE ESCALANTE GUARERAY,827937489,0AG0047,FONT D.OR NATURAL 8L GARRAFA 1U,56,CAJ,9100159254,COMERCIAL F.LEIVA,COMERCIAL F.LEIVA,CALLE SOGORB 79,08560,MANLLEU,DD13100058,MANLLEU,
30/01/2026,11420334,DR0054,855205,JORGE ESCALANTE GUARERAY,827937489,3ENV0054,ENVASE GARRAFA FONT D'OR 8L,56,CAJ,9100159254,COMERCIAL F.LEIVA,COMERCIAL F.LEIVA,CALLE SOGORB 79,08560,MANLLEU,DD13100058,MANLLEU,
30/01/2026,11420334,DR0054,855205,JORGE ESCALANTE GUARERAY,827937489,0VE3248,CASA MARIOL VINO GARNATXA TINTO 75CL 6U,2,CAJ,9100159254,COMERCIAL F.LEIVA,COMERCIAL F.LEIVA,CALLE SOGORB 79,08560,MANLLEU,DD13100058,MANLLEU,
30/01/2026,11420334,DR0054,855205,JORGE ESCALANTE GUARERAY,827937490,0AM1061,"REDONDO PEPINILLOS 300/400 2,5 KG.",1,UN,9100058730,ESCOLA D'HOSTALERIA D'OSONA,ESCOLA D'HOSTALERIA D'OSONA,Passeig de la Suïssa s/n,08551,TONA,DD13100051,BARTOMEU,
30/01/2026,11420334,DR0054,855205,JORGE ESCALANTE GUARERAY,827937490,0AM5250,VERISOL RELLENA ANCHOA 200/220,9,UN,9100058730,ESCOLA D'HOSTALERIA D'OSONA,ESCOLA D'HOSTALERIA D'OSONA,Passeig de la Suïssa s/n,08551,TONA,DD13100051,BARTOMEU,
30/01/2026,11420334,DR0054,855205,JORGE ESCALANTE GUARERAY,827937490,0AM5389,PROEZA MAIZ DULCE EN GRANO LATA 3KG,3,UN,9100058730,ESCOLA D'HOSTALERIA D'OSONA,ESCOLA D'HOSTALERIA D'OSONA,Passeig de la Suïssa s/n,08551,TONA,DD13100051,BARTOMEU,
30/01/2026,11420334,DR0054,855205,JORGE ESCALANTE GUARERAY,827937490,0AM5394,PROEZA ATUN A.GIRASOL BOLSA 1KG,10,UN,9100058730,ESCOLA D'HOSTALERIA D'OSONA,ESCOLA D'HOSTALERIA D'OSONA,Passeig de la Suïssa s/n,08551,TONA,DD13100051,BARTOMEU,
30/01/2026,11420334,DR0054,855205,JORGE ESCALANTE GUARERAY,827937490,0AM0081,REDONDO ALCAPARRAS 800 G.,1,UN,9100058730,ESCOLA D'HOSTALERIA D'OSONA,ESCOLA D'HOSTALERIA D'OSONA,Passeig de la Suïssa s/n,08551,TONA,DD13100051,BARTOMEU,
30/01/2026,11420334,DR0054,855205,JORGE ESCALANTE GUARERAY,827937490,0AM0242,GALLO PAJARITAS (LAZOS) VEGETAL 3KG,2,UN,9100058730,ESCOLA D'HOSTALERIA D'OSONA,ESCOLA D'HOSTALERIA D'OSONA,Passeig de la Suïssa s/n,08551,TONA,DD13100051,BARTOMEU,
30/01/2026,11420334,DR0054,855205,JORGE ESCALANTE GUARERAY,827937490,0AM4014,GOYA LECHE DE COCO 40CL,4,UN,9100058730,ESCOLA D'HOSTALERIA D'OSONA,ESCOLA D'HOSTALERIA D'OSONA,Passeig de la Suïssa s/n,08551,TONA,DD13100051,BARTOMEU,
30/01/2026,11420334,DR0054,855205,JORGE ESCALANTE GUARERAY,827937490,0AM4005,BORNIER MOSTAZA SABOR INTENSO DIJON 1KG,1,UN,9100058730,ESCOLA D'HOSTALERIA D'OSONA,ESCOLA D'HOSTALERIA D'OSONA,Passeig de la Suïssa s/n,08551,TONA,DD13100051,BARTOMEU,
30/01/2026,11420379,DR0006,850006,JOSE VELEZ CASTRO,827937491,ED13,ESTRELLA DAMM 1/3 RET. PP,3,CAJ,9100583212,RACO DEL SEMI CACHOPO,RACO DEL SEMI CACHOPO,CALLE JOAQUIM MIR 88,08100,MOLLET DEL VALLES,DD13100008,MOLL.PANTIQ/MAGAROL,
30/01/2026,11420379,DR0006,850006,JOSE VELEZ CASTRO,827937491,CJ13,CAJA DAMM+BOT.1/3RET VACIO EN P.PLAS.A13,3,CAJ,9100583212,RACO DEL SEMI CACHOPO,RACO DEL SEMI CACHOPO,CALLE JOAQUIM MIR 88,08100,MOLLET DEL VALLES,DD13100008,MOLL.PANTIQ/MAGAROL,
30/01/2026,11420379,DR0006,850006,JOSE VELEZ CASTRO,827937491,EC13,DAURA DAMM 1/3 RET.,1,CAJ,9100583212,RACO DEL SEMI CACHOPO,RACO DEL SEMI CACHOPO,CALLE JOAQUIM MIR 88,08100,MOLLET DEL VALLES,DD13100008,MOLL.PANTIQ/MAGAROL,
30/01/2026,11420379,DR0006,850006,JOSE VELEZ CASTRO,827937491,CJ13,CAJA DAMM+BOT.1/3RET VACIO EN P.PLAS.A13,1,CAJ,9100583212,RACO DEL SEMI CACHOPO,RACO DEL SEMI CACHOPO,CALLE JOAQUIM MIR 88,08100,MOLLET DEL VALLES,DD13100008,MOLL.PANTIQ/MAGAROL,
30/01/2026,11420379,DR0006,850006,JOSE VELEZ CASTRO,827937491,TU13,TURIA 1/3 RET.,2,CAJ,9100583212,RACO DEL SEMI CACHOPO,RACO DEL SEMI CACHOPO,CALLE JOAQUIM MIR 88,08100,MOLLET DEL VALLES,DD13100008,MOLL.PANTIQ/MAGAROL,
30/01/2026,11420379,DR0006,850006,JOSE VELEZ CASTRO,827937491,CJ13,CAJA DAMM+BOT.1/3RET VACIO EN P.PLAS.A13,2,CAJ,9100583212,RACO DEL SEMI CACHOPO,RACO DEL SEMI CACHOPO,CALLE JOAQUIM MIR 88,08100,MOLLET DEL VALLES,DD13100008,MOLL.PANTIQ/MAGAROL,
30/01/2026,11420379,DR0006,850006,JOSE VELEZ CASTRO,827937493,ED13,ESTRELLA DAMM 1/3 RET. PP,6,CAJ,9100338332,BAR GRANADA,BAR GRANADA,RONDA ORIENT 8,08100,MOLLET DEL VALLES,DD13100007,MOLLET ILLA/E.FRANÇ,
30/01/2026,11420379,DR0006,850006,JOSE VELEZ CASTRO,827937493,CJ13,CAJA DAMM+BOT.1/3RET VACIO EN P.PLAS.A13,6,CAJ,9100338332,BAR GRANADA,BAR GRANADA,RONDA ORIENT 8,08100,MOLLET DEL VALLES,DD13100007,MOLLET ILLA/E.FRANÇ,
