Cliente,Nombre 1,Nombre 2,Calle,CP,Población
9100681586,AREA TRUCK ( SHELL ),AREA TRUCK ( SHELL ),CARRER SUSQUEDA 18,08500,VIC
9100673632,AREA VIC BP,AREA VIC BP,Carrer Torelló 57,08500,VIC
9100648495,ZONA DIESEL URBAN,ZONA DIESEL URBAN,CALLE MATARO S/N,08500,VIC
9100642823,CAFETERIA PRADALS,CAFETERIA PRADALS,CTRA. SANT HIPÒLIT 61,08500,VIC
9100684868,AURIAL PADEL,AURIAL PADEL,Carrer de Figueres 14,08500,VIC
9100582033,HOSPITAL DE VIC CAFETERIA,HOSPITAL DE VIC CAFETERIA,Carrer de Francesc Pla el Vigatà 1,08500,VIC
9100579835,"PANIFICADORA VIC, S.A.","PANIFICADORA VIC, S.A.",Carrer del Mas de la Móra 9,08500,VIC
9100577691,"BOTANIC & FRUITS, S.L.","BOTANIC & FRUITS, S.L.",Carrer Santiago Ramon y Cajal 93,08500,VIC
9100579841,TALLER MECANIC DAVID HOMS,TALLER MECANIC DAVID HOMS,Carrer de Lleida 35,08500,VIC
9100577732,CAL MARCEL-LI,CAL MARCEL-LI,Avinguda de Pius XII 11,08500,VIC
9100582097,HOSPITAL DE VIC CUINA,HOSPITAL DE VIC CUINA,Carrer de Francesc Pla el Vigatà 1,08500,VIC
9100669635,BAR UE VIC,BAR UE VIC,AVENIDA OLIMPIA S/N,08500,VIC
9100581337,BAR L'OLLA,BAR L'OLLA,CALLE DOCTOR JUNYENT 8,08500,VIC
9100399521,LA CAFE,LA CAFE,CALLE LA LLOTJA 9,08500,VIC
9100215822,CAFE VIC,CAFE VIC,Carrer del Pare Coll 2,08500,VIC
9100159640,FORN SANT MIQUEL,FORN SANT MIQUEL,Plaça Major 13,08500,VIC
9100411152,CINEMES SUCRE,CINEMES SUCRE,CALLE LA LLOTJA 9,08500,VIC
9100701789,MIREIA ESTEVEZ CABANILLAS,MIREIA ESTEVEZ CABANILLAS,Carrer de Pruit S/N,08500,VIC
9100661094,LA GRANJA BAR,LA GRANJA BAR,Carrer del Bisbe Morgades 31,08500,VIC
9100642838,INDIA RAMBLA,INDIA RAMBLA,RAMBLA HOSPITAL 44,08500,VIC
9100664901,CANTINA IES VIC ST TOMAS,CANTINA IES VIC ST TOMAS,Avinguda de Sant Bernat Calbó 8,08500,VIC
9100723046,Vilar Riba - Vic,Vilar Riba - Vic,Carrer de Solsona 2,08500,VIC
9100700207,CA LA MEI,CA LA MEI,Rambla del Carme 35,08500,VIC
9100592884,LA TAGLIATELLA POLIGON,LA TAGLIATELLA POLIGON,MANLLEU 54,08500,VIC
9100577728,LLAR JUVENIL,LLAR JUVENIL,CALLE PIUS XII 20,08500,VIC
9100416412,RESTAURANT ELS PERNILS,RESTAURANT ELS PERNILS,CALLE RIPOLL 67,08500,VIC
9100353302,BAR PIRINEO,BAR PIRINEO,AVENIDA ESTADI 13,08500,VIC
9100159004,FORN ESTADI,FORN ESTADI,AVENIDA PIUS XII 18,08500,VIC
9100158975,FORN DE PA EL REMEI,FORN DE PA EL REMEI,CALLE RAIMON D'ABADAL 23,08500,VIC
