Material,Número de material,Ce.,Alm.,UMB,Fabricante,Número de un fabricante,Ubic.
0AM0783,LOTUS BISCOFF 300U,D131,0001,CAJ,35166,Lotus Bakeries España SL,FA05A2
0LM0582,SANTEX GUANTES NITRILO S/POLV NEGRO T S,D131,0005,CAJ,43786,"SANTEX 2000 INTERNACIONAL, SL",ZCG
0RF0088,/-SCHWEPPES TONICA LATA SLEEK 24U,D131,0001,CAJ,33298,"SCHWEPPES, S.A.",CB06A2
0RF0091,/-SCHWEPPES LIMON LATA SLEEK 24U,D131,0005,CAJ,33298,"SCHWEPPES, S.A.",ZCG
0RF0109,/-BITTER KAS 200 SR 24U,D131,0001,CAJ,33298,"SCHWEPPES, S.A.",DB06A1
0RF0260,/-TRINA NARANJA ZERO 250 S/R 24U,D131,0005,CAJ,33298,"SCHWEPPES, S.A.",ZCG
0RF0296,RED BULL ENERGY DRINK 25CL LATA 24U,D131,0001,CAJ,33003,RED BULL ESPAÑA SL,CB06A3
0VE0025,CASTELL D´ORDAL BRUT 75CL 6U,D131,0005,CAJ,33786,CAVAS J.HILL SL,ZCG
PL13,EUROCAJA 1/3 DAMM VACIA 24U. P.PLAST.A13,D131,0002,UN,5001,S.A. DAMM,AAAAAA
0AG0035,VICHY CATALAN TONICAS 1/3 LATA 24U,D131,0005,CAJ,30399,PREMIUM MIX GROUP S.L,ZCG
0AG0036,VICHY CATALAN NARANJA 1/3 LATA 24U,D131,0005,CAJ,30399,PREMIUM MIX GROUP S.L,ZCG
0AG0038,VICHY CATALAN PLUS MENTA 1/3 LATA 24U,D131,0005,CAJ,30399,PREMIUM MIX GROUP S.L,ZCG
0AG0046,"VICHY CATALAN GAS 1,2L PET 6U",D131,0005,CAJ,30399,PREMIUM MIX GROUP S.L,ZCG
0AG0052,VICHY CATALAN GAS 1/2 PET 24U,D131,0001,CAJ,30399,PREMIUM MIX GROUP S.L,EA01A3
0AG0078,VICHY CATALAN FRUIT NARANJA 1/2 PET 24U,D131,0005,CAJ,30399,PREMIUM MIX GROUP S.L,ZCG
0AG0079,VICHY CATALAN FRUIT LIMON 1/2 PET 24U,D131,0005,CAJ,30399,PREMIUM MIX GROUP S.L,ZCG
0AG0080,VICHY CATALAN FRUIT MANZANA 1/2 PET 24U,D131,0005,CAJ,30399,PREMIUM MIX GROUP S.L,ZCG
0AG0081,"VICHY CATALAN FRUIT NARANJA 1,2L PET 6U",D131,0005,CAJ,30399,PREMIUM MIX GROUP S.L,ZCG
0AG0082,"VICHY CATALAN FRUIT LIMON 1,2L PET 6U",D131,0005,CAJ,30399,PREMIUM MIX GROUP S.L,ZCG
