ZONAS,NOMBRE ZONAS,,,cliente zona,ZonaTransp,,,,,ZonaTransp,Zona Entrega,RutReal,Denominación
DD13100000,Zona Salida Movi,,,100423,DD13100045,,,,,DD13100000,Zona Salida Movi,DR0GEN,Ruta Almacén Genérica DDI
DD13100001,MOLLET CAN BORRELL,,,103154,DD13100008,,,,,DD13100001,MOLLET CAN BORRELL,DR0001,RP235 MOLLET JOSE VELEZ CASTRO
DD13100002,MOLLET PLANA LLADO,,,115740,DD13100059,,,,,DD13100002,MOLLET PLANA LLADO,DR0006,RP235 MOLLET MIGUEL ANGEL DOMINGUEZ GENA
DD13100003,MOLLET BARRI OLIVA,,,118135,DD13100020,,,,,DD13100003,MOLLET BARRI OLIVA,DR0006,RP235 MOLLET MIGUEL ANGEL DOMINGUEZ GENA
DD13100004,MOLLET RAMBLA NOVA,,,118136,DD13100050,,,,,DD13100004,MOLLET RAMBLA NOVA,DR0001,RP235 MOLLET JOSE VELEZ CASTRO
DD13100005,MOLLET XAM.GOMA/VIN,,,118470,DD13100017,,,,,DD13100005,MOLLET XAM.GOMA/VINZ,DR0007,RP235 MOLLET OSCAR REDONDO
DD13100006,MOLL PRATRIBA/POMPE,,,119642,DD13100018,,,,,DD13100006,MOLL PRATRIBA/POMPEU,DR0006,RP235 MOLLET MIGUEL ANGEL DOMINGUEZ GENA
DD13100007,MOLLET ILLA/E.FRANÇ,,,119646,,,,,,DD13100007,MOLLET ILLA/E.FRANÇA,DR0007,RP235 MOLLET OSCAR REDONDO
DD13100008,MOLL.PANTIQ/MAGAROL,,,119717,DD13100026,,,,,DD13100008,MOLL.PANTIQ/MAGAROLA,DR0007,RP235 MOLLET OSCAR REDONDO
DD13100009,MOLLET TARDA,,,119751,DD13100008,,,,,DD13100009,MOLLET TARDA,DR0007,RP235 MOLLET OSCAR REDONDO
DD13100010,GRAN. CANOVELLES,,,119956,DD13100045,,,,,DD13100010,GRAN. CANOVELLES,DR0010,RP235 MOLLET ANTONIO DIAZ AGUILA
DD13100011,GRAN. CENTRE,,,122348,DD13100011,,,,,DD13100011,GRAN. CENTRE,DR0011,RP235 MOLLET ADRIA RAMOS ROSICH
DD13100012,GRAN. PASEO COLON,,,122790,DD13100015,,,,,DD13100012,GRAN. PASEO COLON,DR0010,RP235 MOLLET ANTONIO DIAZ AGUILA
DD13100013,GRAN. PASEIG MUNTAN,,,126089,DD13100054,,,,,DD13100013,GRAN. PASEIG MUNTANY,DR0017,RP235 MOLLET RUBEN DIAZ
DD13100014,GRAN. ROGER FLOR,,,127151,DD13100012,,,,,DD13100014,GRAN. ROGER FLOR,DR0010,RP235 MOLLET ANTONIO DIAZ AGUILA
DD13100015,GRAN. TRES TORRES,,,128003,DD13100013,,,,,DD13100015,GRAN. TRES TORRES,DR0016,RP235 MOLLET JUAN JAVIER PONCE
DD13100016,GRAN. BELLAVISTA,,,128051,DD13100004,,,,,DD13100016,GRAN. BELLAVISTA,DR0016,RP235 MOLLET JUAN JAVIER PONCE
DD13100017,GRAN. GIRONA,,,128247,DD13100050,,,,,DD13100017,GRAN. GIRONA,DR0017,RP235 MOLLET RUBEN DIAZ
DD13100018,GRAN. CAN BASSA,,,128249,DD13100045,,,,,DD13100018,GRAN. CAN BASSA,DR0016,RP235 MOLLET JUAN JAVIER PONCE
DD13100019,GRAN. PONIENTE,,,128916,DD13100030,,,,,DD13100019,GRAN. PONIENTE,DR0010,RP235 MOLLET ANTONIO DIAZ AGUILA
DD13100020,GRAN. RAMASSAR,,,129963,DD13100050,,,,,DD13100020,GRAN. RAMASSAR,DR0017,RP235 MOLLET RUBEN DIAZ
DD13100021,GRAN. SANT JULIA,,,136675,DD13100050,,,,,DD13100021,GRAN. SANT JULIA,DR0040,RP235 MOLLET CRISTIAN LORENTE AINAUD
DD13100022,LES FRANQUESES,,,136720,DD13100011,,,,,DD13100022,LES FRANQUESES,DR0017,RP235 MOLLET RUBEN DIAZ
DD13100023,PARETS SUD / LOURDE,,,9100040724,DD13100011,,,,,DD13100023,PARETS SUD / LOURDES,DR0023,RP235 MOLLET JOSE MARIA SORIA JURADO
DD13100024,PARETS NORD,,,9100040748,DD13100020,,,,,DD13100024,PARETS NORD,DR0023,RP235 MOLLET JOSE MARIA SORIA JURADO
DD13100025,LA ROCA,,,9100040775,DD13100008,,,,,DD13100025,LA ROCA,DR0016,RP235 MOLLET JUAN JAVIER PONCE
DD13100026,MONTORNES CENTRE,,,9100040930,DD13100013,,,,,DD13100026,MONTORNES CENTRE,DR0027,RP235 MOLLET FRAN ROMERO PONCE
DD13100027,MONTORNES NORD,,,9100040967,DD13100033,,,,,DD13100027,MONTORNES NORD,DR0027,RP235 MOLLET FRAN ROMERO PONCE
DD13100028,MONTORNES POLIGON,,,9100041008,DD13100019,,,,,DD13100028,MONTORNES POLIGON,DR0027,RP235 MOLLET FRAN ROMERO PONCE
DD13100029,MONTMELO,,,9100041010,DD13100017,,,,,DD13100029,MONTMELO,DR0027,RP235 MOLLET FRAN ROMERO PONCE
DD13100030,MARTORELLES,,,9100041053,DD13100023,,,,,DD13100030,MARTORELLES,DR0031,RP235 MOLLET LUIS HERNANDEZ MESA
DD13100031,ST FOST CAMPSENTELL,,,9100041059,DD13100020,,,,,DD13100031,ST FOST CAMPSENTELL,DR0031,RP235 MOLLET LUIS HERNANDEZ MESA
DD13100032,LLIÇA D'AMUNT,,,9100041103,DD13100012,,,,,DD13100032,LLIÇA D'AMUNT,DR0032,RP235 MOLLET LLUIS CORS BOIX
DD13100033,LLIÇA DE VALL,,,9100041161,DD13100029,,,,,DD13100033,LLIÇA DE VALL,DR0032,RP235 MOLLET LLUIS CORS BOIX
DD13100034,S.EU RONÇ/BIG.RIELLS,,,9100041355,DD13100017,,,,,DD13100034,S.EU RONÇ/BIG.RIELLS,DR0032,RP235 MOLLET LLUIS CORS BOIX
DD13100035,VALLROMANES/VILANOV,,,9100041363,,,,,,DD13100035,VALLROMANES/VILANOV,DR0027,RP235 MOLLET FRAN ROMERO PONCE
DD13100036,CARDEDEU,,,9100041393,DD13100023,,,,,DD13100036,CARDEDEU,DR0016,RP235 MOLLET JUAN JAVIER PONCE
DD13100037,ST.PERPETUA MOGODA,,,9100041442,DD13100002,,,,,DD13100037,ST.PERPETUA MOGODA,DR0007,RP235 MOLLET OSCAR REDONDO
DD13100038,LA LLAGOSTA,,,9100041485,DD13100029,,,,,DD13100038,LA LLAGOSTA,DR0038,RP235 MOLLET DAVID SEGOVIA ARMERO
DD13100039,PALAU-SOLITA PLEGAM.,,,9100041486,DD13100015,,,,,DD13100039,PALAU-SOLITA PLEGAM.,DR0038,RP235 MOLLET DAVID SEGOVIA ARMERO
