Deudor,Organización ventas,Canal distribución,Sector,Día semana,Turno,Nombre 1,Descripción,Descripción,Descripción,Horario inicia a,Horario termina a,Cierre Si/No
104047,235,1,8,1,1,VIENA GRANOLLERS (ANSELM CLAVE) 10,DDI MOLLET,Canal distrib.MARCA,DDI,00:00:00,23:59:59,
104047,235,1,8,2,1,VIENA GRANOLLERS (ANSELM CLAVE) 10,DDI MOLLET,Canal distrib.MARCA,DDI,00:00:00,00:00:00,
104047,235,1,8,3,1,VIENA GRANOLLERS (ANSELM CLAVE) 10,DDI MOLLET,Canal distrib.MARCA,DDI,00:00:00,23:59:59,
104047,235,1,8,4,1,VIENA GRANOLLERS (ANSELM CLAVE) 10,DDI MOLLET,Canal distrib.MARCA,DDI,00:00:00,00:00:00,
104047,235,1,8,5,1,VIENA GRANOLLERS (ANSELM CLAVE) 10,DDI MOLLET,Canal distrib.MARCA,DDI,00:00:00,00:00:00,
122348,235,1,8,1,1,FRANKFURT LEO BOECK GRANOLLERS,DDI MOLLET,Canal distrib.MARCA,DDI,10:30:00,11:00:00,
122348,235,1,8,2,1,FRANKFURT LEO BOECK GRANOLLERS,DDI MOLLET,Canal distrib.MARCA,DDI,10:30:00,11:00:00,
122348,235,1,8,3,1,FRANKFURT LEO BOECK GRANOLLERS,DDI MOLLET,Canal distrib.MARCA,DDI,10:30:00,11:00:00,
122348,235,1,8,4,1,FRANKFURT LEO BOECK GRANOLLERS,DDI MOLLET,Canal distrib.MARCA,DDI,10:30:00,11:00:00,
122348,235,1,8,5,1,FRANKFURT LEO BOECK GRANOLLERS,DDI MOLLET,Canal distrib.MARCA,DDI,10:30:00,11:00:00,
123142,235,1,8,1,1,ARAMARK MUTUA DEL CARMEN,DDI MOLLET,Canal distrib.MARCA,DDI,09:00:00,14:00:00,
123142,235,1,8,2,1,ARAMARK MUTUA DEL CARMEN,DDI MOLLET,Canal distrib.MARCA,DDI,09:00:00,14:00:00,
123142,235,1,8,3,1,ARAMARK MUTUA DEL CARMEN,DDI MOLLET,Canal distrib.MARCA,DDI,09:00:00,14:00:00,
123142,235,1,8,4,1,ARAMARK MUTUA DEL CARMEN,DDI MOLLET,Canal distrib.MARCA,DDI,09:00:00,14:00:00,
123142,235,1,8,5,1,ARAMARK MUTUA DEL CARMEN,DDI MOLLET,Canal distrib.MARCA,DDI,09:00:00,14:00:00,
128061,235,1,8,1,1,755_SUBLIME,DDI MOLLET,Canal distrib.MARCA,DDI,00:00:00,00:00:00,X
128915,235,1,8,1,1,A MOSSEGADES BURGUER,DDI MOLLET,Canal distrib.MARCA,DDI,12:30:00,15:00:00,
128915,235,1,8,2,1,A MOSSEGADES BURGUER,DDI MOLLET,Canal distrib.MARCA,DDI,12:30:00,15:00:00,
128915,235,1,8,3,1,A MOSSEGADES BURGUER,DDI MOLLET,Canal distrib.MARCA,DDI,12:30:00,15:00:00,
128915,235,1,8,4,1,A MOSSEGADES BURGUER,DDI MOLLET,Canal distrib.MARCA,DDI,12:30:00,15:00:00,
128915,235,1,8,5,1,A MOSSEGADES BURGUER,DDI MOLLET,Canal distrib.MARCA,DDI,12:30:00,15:00:00,
136720,235,1,8,1,1,UDON GRANOLLERS,DDI MOLLET,Canal distrib.MARCA,DDI,06:00:00,18:00:00,
136720,235,1,8,2,1,UDON GRANOLLERS,DDI MOLLET,Canal distrib.MARCA,DDI,06:00:00,18:00:00,
136720,235,1,8,3,1,UDON GRANOLLERS,DDI MOLLET,Canal distrib.MARCA,DDI,06:00:00,18:00:00,
136720,235,1,8,4,1,UDON GRANOLLERS,DDI MOLLET,Canal distrib.MARCA,DDI,06:00:00,18:00:00,
136720,235,1,8,5,1,UDON GRANOLLERS,DDI MOLLET,Canal distrib.MARCA,DDI,06:00:00,18:00:00,
9100040724,235,1,8,1,1,CASA FONDA EUROPA,DDI MOLLET,Canal distrib.MARCA,DDI,07:00:00,12:00:00,
9100040724,235,1,8,2,1,CASA FONDA EUROPA,DDI MOLLET,Canal distrib.MARCA,DDI,07:00:00,12:00:00,
9100040724,235,1,8,3,1,CASA FONDA EUROPA,DDI MOLLET,Canal distrib.MARCA,DDI,07:00:00,12:00:00,
9100040724,235,1,8,4,1,CASA FONDA EUROPA,DDI MOLLET,Canal distrib.MARCA,DDI,07:00:00,12:00:00,
9100040724,235,1,8,5,1,CASA FONDA EUROPA,DDI MOLLET,Canal distrib.MARCA,DDI,07:00:00,12:00:00,
9100041053,235,1,8,1,1,BAR CERVECERIA JORDI,DDI MOLLET,Canal distrib.MARCA,DDI,11:00:00,16:00:00,
9100041053,235,1,8,2,1,BAR CERVECERIA JORDI,DDI MOLLET,Canal distrib.MARCA,DDI,11:00:00,16:00:00,
9100041053,235,1,8,3,1,BAR CERVECERIA JORDI,DDI MOLLET,Canal distrib.MARCA,DDI,11:00:00,16:00:00,
9100041053,235,1,8,4,1,BAR CERVECERIA JORDI,DDI MOLLET,Canal distrib.MARCA,DDI,11:00:00,16:00:00,
9100041053,235,1,8,5,1,BAR CERVECERIA JORDI,DDI MOLLET,Canal distrib.MARCA,DDI,11:00:00,16:00:00,
