Material,TpMt,UMA,Contador,Denom.,Código EAN/UPC,Longitud,Unidad dimensión,Ancho,Unidad dimensión,Altura,Unidad dimensión,Unidad dimensión,Volumen,UV,UV,Peso bruto,Un,Un,Peso neto,Un,Jquía.productos
0CF0054,ZFIN,CAJ,1,1,,0,,0,,0,,,0,,,0,KG,KG,0,KG,00CF30ZZPCA1E4
0CF0054,ZFIN,PAL,60,1,,100,CM,120,CM,169,CM,CM,475.2,L,L,1020,KG,KG,0,KG,00CF30ZZPCA1E4
0CF0054,ZFIN,UN,1,6,88410793020334XX,100,CM,120,CM,169,CM,CM,475.2,L,L,1020,KG,KG,0,KG,00CF30ZZPCA1E4
0CF0054,ZFIN,BOT,60,1,88410793020334XX,100,CM,120,CM,169,CM,CM,475.2,L,L,1020,KG,KG,0,KG,00CF30ZZPCA1E4
0CF0054,ZFIN,KG,100,120,88410793020334XX,100,CM,120,CM,169,CM,CM,475.2,L,L,1020,KG,KG,0,KG,00CF30ZZPCA1E4
0CF0054,ZFIN,ZCE,100,16,88410793020334XX,100,CM,120,CM,169,CM,CM,475.2,L,L,1020,KG,KG,0,KG,00CF30ZZPCA1E4
0CF0054,ZFIN,ZPR,1,1,88410793020334XX,100,CM,120,CM,169,CM,CM,475.2,L,L,1020,KG,KG,0,KG,00CF30ZZPCA1E4
0CF0054,ZFIN,L,100,120,88410793020334XX,100,CM,120,CM,169,CM,CM,475.2,L,L,1020,KG,KG,0,KG,00CF30ZZPCA1E4
0CF0055,ZFIN,CAJ,1,1,,0,,0,,0,,,0,,,0,KG,KG,0,KG,00CF30ZZPCA1E4
0CF0055,ZFIN,PAL,60,1,,100,CM,120,CM,169,CM,CM,475.2,L,L,1020,KG,KG,0,KG,00CF30ZZPCA1E4
0CF0055,ZFIN,UN,1,6,,100,CM,120,CM,169,CM,CM,475.2,L,L,1020,KG,KG,0,KG,00CF30ZZPCA1E4
0CF0055,ZFIN,BOT,60,1,,100,CM,120,CM,169,CM,CM,475.2,L,L,1020,KG,KG,0,KG,00CF30ZZPCA1E4
0CF0055,ZFIN,KG,100,120,,100,CM,120,CM,169,CM,CM,475.2,L,L,1020,KG,KG,0,KG,00CF30ZZPCA1E4
0CF0055,ZFIN,L,100,120,,100,CM,120,CM,169,CM,CM,475.2,L,L,1020,KG,KG,0,KG,00CF30ZZPCA1E4
0CF0055,ZFIN,ZCE,100,16,,100,CM,120,CM,169,CM,CM,475.2,L,L,1020,KG,KG,0,KG,00CF30ZZPCA1E4
0CF0055,ZFIN,ZPR,1,1,,100,CM,120,CM,169,CM,CM,475.2,L,L,1020,KG,KG,0,KG,00CF30ZZPCA1E4
0CF0053,ZFIN,UN,1,1,,0,,0,,0,,,0,,,0,KG,KG,0,KG,00CF38ZZPCA1E4
0CF0053,ZFIN,PAL,60,1,,100,CM,120,CM,169,CM,CM,475.2,L,L,1020,KG,KG,0,KG,00CF38ZZPCA1E4
0CF0053,ZFIN,CAJ,60,1,88410793020334XX,100,CM,120,CM,169,CM,CM,475.2,L,L,1020,KG,KG,0,KG,00CF38ZZPCA1E4
0CF0053,ZFIN,BOT,60,1,88410793020334XX,100,CM,120,CM,169,CM,CM,475.2,L,L,1020,KG,KG,0,KG,00CF38ZZPCA1E4
0CF0053,ZFIN,KG,100,77,88410793020334XX,100,CM,120,CM,169,CM,CM,475.2,L,L,1020,KG,KG,0,KG,00CF38ZZPCA1E4
0CF0053,ZFIN,ZCE,100,10,88410793020334XX,100,CM,120,CM,169,CM,CM,475.2,L,L,1020,KG,KG,0,KG,00CF38ZZPCA1E4
0CF0053,ZFIN,ZPR,1,1,88410793020334XX,100,CM,120,CM,169,CM,CM,475.2,L,L,1020,KG,KG,0,KG,00CF38ZZPCA1E4
0CF0053,ZFIN,L,100,77,88410793020334XX,100,CM,120,CM,169,CM,CM,475.2,L,L,1020,KG,KG,0,KG,00CF38ZZPCA1E4
0VE0608,ZFIN,ZPR,1,1,,0,,0,,0,,,0,,,0,,,0,KG,00VEEUZZD018E4
0VE0608,ZFIN,CAJ,1,1,,0,,0,,0,,,0,,,0,KG,KG,0,KG,00VEEUZZD018E4
0VE0608,ZFIN,L,100,1200,,0,,0,,0,,,0,,,0,,,0,KG,00VEEUZZD018E4
0VE0608,ZFIN,ZCE,100,120,,0,,0,,0,,,0,,,0,,,0,KG,00VEEUZZD018E4
0VE0608,ZFIN,PAL,60,1,,100,CM,120,CM,169,CM,CM,475.2,L,L,1020,KG,KG,0,KG,00VEEUZZD018E4
0VE0608,ZFIN,UN,1,12,8410793020130,62,MM,62,MM,231,MM,MM,0.33,L,L,0.725,KG,KG,0,KG,00VEEUZZD018E4
0VE0608,ZFIN,BOT,1,12,8410793020130,62,MM,62,MM,231,MM,MM,0.33,L,L,0.725,KG,KG,0,KG,00VEEUZZD018E4
0VE0765,ZFIN,CAJ,1,1,,33,CM,24,CM,29,CM,CM,22.968,DM3,DM3,4.5,KG,KG,4.5,KG,00VEVAD6D020E4
0VE0765,ZFIN,PAL,48,1,88410793020334XX,100,CM,120,CM,169,CM,CM,475.2,L,L,1020,KG,KG,4.5,KG,00VEVAD6D020E4
0VE0765,ZFIN,UN,1,6,88410793020334XX,100,CM,120,CM,169,CM,CM,475.2,L,L,1020,KG,KG,4.5,KG,00VEVAD6D020E4
0VE0765,ZFIN,BOT,1,6,88410793020334XX,100,CM,120,CM,169,CM,CM,475.2,L,L,1020,KG,KG,4.5,KG,00VEVAD6D020E4
0VE0765,ZFIN,KG,60,1,88410793020334XX,100,CM,120,CM,169,CM,CM,475.2,L,L,1020,KG,KG,4.5,KG,00VEVAD6D020E4
0VE0765,ZFIN,L,100,450,88410793020334XX,100,CM,120,CM,169,CM,CM,475.2,L,L,1020,KG,KG,4.5,KG,00VEVAD6D020E4
0VE0765,ZFIN,ZCE,100,60,88410793020334XX,100,CM,120,CM,169,CM,CM,475.2,L,L,1020,KG,KG,4.5,KG,00VEVAD6D020E4
0VE0765,ZFIN,ZPR,1,1,88410793020334XX,100,CM,120,CM,169,CM,CM,475.2,L,L,1020,KG,KG,4.5,KG,00VEVAD6D020E4
ED15C,ZFIN,ZPR,1,1,,0,,0,,0,,,0,,,0,,,13.7,KG,00CZ0101
ED15C,ZFIN,Y05,1,1,,0,,0,,0,,,0,,,0,,,13.7,KG,00CZ0101
ED15C,ZFIN,Y17,1,1,,0,,0,,0,,,0,,,0,,,13.7,KG,00CZ0101
ED15C,ZFIN,ZOP,70,1,,0,,0,,0,,,0,,,0,,,13.7,KG,00CZ0101
ED15C,ZFIN,ZPM,70,1,,0,,0,,0,,,0,,,0,,,13.7,KG,00CZ0101
