cluster_id,cluster_size,members_json
72,40,"[""AREA DELS PARDALS-GASOLI"", ""AREA VIC BP"", ""ASSEMBLEA JOVE VIC"", ""ASSOCIACIO CULTURAL SAGALS D'OSONA"", ""BAR CAFETERIA LA PONCELLA"", ""BAR CATALUNYA (ST.JULIA)"", ""BAR GABI"", ""BAR L'OLLA"", ""BAR LA PLACETA"", ""BAR UNIVIC"", ""Bagel Coffee"", ""Bar La Parada c/ bisbe morgades"", ""CAF# DE LES LLETRES, S.C.P"", ""CAFETERIA SANT TOMÀS"", ""CAL MARCEL-LI"", ""CANTABRIA RESTAURANT"", ""CANTINA IES VIC ST TOMAS"", ""EL 9 TONI PETIT"", ""EL CAPUTXI"", ""EL PERNILER"", ""FETNOSTREVIC"", ""FLECA DIVINA PASTORA"", ""FORN CATALUNYA"", ""FORN DEL CARME"", ""FORN PUJOLS"", ""FORN SANT ALBERT"", ""FRANKFURT VIC**"", ""GRANGES LA CATALANA"", ""LA CABRA BAR"", ""Llegums Cuits Cal Marcel·lí"", ""MINI BRINDIS, BAR"", ""MIRAMARGES  JOSEP ILLAMOLA VILALTA"", ""PANADERIA GRANIER"", ""PANIFICADORA VIC, S.A."", ""PRAGMA PROFESSIONAL"", ""PULIT, S.A"", ""RESTAURANT ELS PERNILS"", ""RESTAURANT NOU PAMPLONA"", ""TKBNA"", ""ZONA DIESEL""]"
0,39,"[""ALFREDO PARODI FURHMAN"", ""ANA MARIA FONT COLL"", ""BAR JOAN"", ""BRUNCH 4.12 MUSIC"", ""CAFETERIA ANGELA"", ""CAL TETE SANT FOST"", ""CANSALADERIA CAN MAGRET"", ""CARLOS OLMOS MONZON"", ""CASAL AVIS MASIA CAN CARRANCA JUNTA"", ""CASTELLERS DE MOLLET"", ""CHATARRAS MOLICAL  SL"", ""CLASSIC CLUB MONTMELO"", ""COOPERATIVA GUISSONA"", ""Comercial  Bebidas Burj SL"", ""DAVID SEGOVIA ARMERO"", ""DELS CASTANYERS RESTAURANT"", ""FAMILIAR BAR RESTAURANTE"", ""FLECA LA FLORIDA"", ""FOOD TRUCK"", ""FRIT RAVICH, S.L."", ""Federació Catalana de Patinatge (FC"", ""GLOBAL ART COOKING"", ""HEBRON"", ""JULIO ALEJANDRO SANCHEZ FERNANDEZ"", ""LA CUPULA BAR"", ""LA GIRALDA"", ""LA ROSA BAR"", ""LLAVORS I CEREALS FONT"", ""LOVIC OSONA"", ""MATADERO FRIGORIFICO AVINYO"", ""OBSEQUIOS EVENTOS TURIA"", ""OSONA CUINA"", ""PENYA ELS BARTOMEUS"", ""PEÑA PERE ANTON"", ""RACÓ DE SANT FOST"", ""Roberto Ferrando Martínez"", ""VENDES MAGATZEM"", ""XAVIER FERRANDIZ RIBA"", ""ZONA ACAMPADA CIRCUIT CATALUNYA""]"
25,38,"[""B&B"", ""BAR ATLANTIDA"", ""BAR BOHEMI"", ""BAR FUSINA"", ""Bar Restaurant Can Parlet"", ""CAFE PASTISSERIA BRUGUER"", ""CAFE SAMSARA"", ""CAFE VIC"", ""CAFETERIA CIRCUIT D'OSONA"", ""CAFETERIA SANT JORDI"", ""CAL GAT CAFETERIA RESTAURANT"", ""CARBO"", ""CASA TEVA"", ""CITY ARMS"", ""COFFEE & BAKERY CAN PAU"", ""DIVICNUS GASTROBAR"", ""EL 33"", ""EL PORTAL VIC"", ""El Celler d'en Miquel"", ""FORN SANT MIQUEL"", ""GRANJA XOCOLATERIA''LA CLAU"", ""INNOGANDO"", ""Iris café"", ""L'INDIÀ CAFETERIA"", ""LA BONA TAULA"", ""LA CIUTAT DELS SANTS"", ""LA GRANJA BAR"", ""LA MANDUCA"", ""La Indiana Gastro & Gelato"", ""PUNT DONER KEBAB"", ""RACO DE L'IBERIC**"", ""RESTAURANT EL XIC"", ""RUKU RESTAURANT"", ""TAJ MAHAL"", ""THE NEW ORLEANS"", ""TRESONA XXI"", ""Vacanal Jubany - Hamburgueseria"", ""Vilar Riba - Vic""]"
26,38,"[""ALORA"", ""BAR CAFETERIA LOS DOS 961"", ""BAR INDELALBA"", ""BAR JUAQUIN"", ""BAR LA GRALLA"", ""BAR MERINO"", ""BAR RESTAURANTE A PICOS"", ""BAR RESTAURANTE XIAN"", ""BAR SAN ANTONIO"", ""BAR YUMEI"", ""BAR?JOAN?PRIM"", ""BK GRANOLLERS"", ""BON QUALITAT"", ""BONA TAPA"", ""CA LA SETE"", ""CAFETERIA JALEY"", ""CASA TOI"", ""CELLER DEL FERRER"", ""COFFEE YAGUNA"", ""DATOTE AL BAGH"", ""Dania’s Bistro & Grill | Granollers"", ""EPICUS BAR"", ""FORNO DI CAFFE VIVALDI"", ""FRANKFURT JAVIS II"", ""KUMAR DONNER KEBAB PIZZERIA"", ""L,ESTACIO DE SERVEI"", ""LA PLANCHA ÑAM ÑAM"", ""MIXU#S CAT CAFE"", ""MUSIC CLUB RADIKAL"", ""PADEL INDOOR GRANOLLERS"", ""PUB EVENING"", ""QUATREPAMS"", ""RESTAURANTE GRAN MURALLA"", ""RESTAURANTE PALOU"", ""RESTAURANTE XAP"", ""ROCA UMBERT FABRICA DELS ARTS"", ""SALA GRANOLLERS (TORRES) – CIRSA"", ""SHINGARI SUSHI BAR""]"
71,33,"[""BAR CAFETERIA KALESSY"", ""BAR EL RECONET"", ""BAR EL VERMUTILLO"", ""BAR GARCIA"", ""BAR LA RAMBLA"", ""BAR LONDEN 2"", ""BAR MILANA BRASERIA"", ""BAR NEVADA II"", ""BAR PAREDES 5"", ""BAR RESTAURANT PAVEPIC"", ""BAR RESTAURANT TROYA"", ""BAR RESTAURANTE ITACA"", ""BAR ZHOU"", ""CAFE LEO"", ""CAFETERIA FORN LA FLAIRE"", ""CAL JOAN"", ""CAN SANO"", ""CASA CHUECOS"", ""DONNER POMPEU FABRA"", ""EL RACO DE LES MORERES"", ""EL SAZON DE ROSARIO"", ""KARMA´S"", ""LA BAGUETINA"", ""NUNA´S"", ""PUNTO"", ""RESTAURANTE MELARA"", ""RESTAURANTE MINT"", ""RSTE. PEIX D'OR"", ""RTE AYOPAYA"", ""SALON GRANOLLERS MACIA - CIRSA"", ""SNACK BAR OASIS"", ""TAVERNA TATXIN TATXIN"", ""XICS DE GRANOLLERS""]"
68,30,"[""BAR ARAMAN"", ""BAR BUS STOP"", ""BAR KUNDALINI"", ""BAR PIRRI"", ""BAR PUIG-MEALS"", ""BAR QUINTO I TAPA"", ""BAR REST. MANLLEU"", ""BAR TAPES I TAPETES"", ""BAR UNIO"", ""BAR VILAMIROSA"", ""BON PROFIT"", ""CAFE ANTIC"", ""CAFETERIA CATALUNYA"", ""CAN MARIO"", ""CROISSANTERIA CAPRICI"", ""CROISSANTERIA NACCAR"", ""DÉJÀ VU"", ""E.S MANLLEU"", ""EL MOLINET"", ""El Racó de la Gina"", ""FRANFURT 86"", ""GIOVANNI"", ""GRANJA CAFETERIA ROMA"", ""JAVIS 3"", ""LES GARGOLES DEL NORD"", ""MANLLEUET Cerveseria Restaurant"", ""REST.CAL BATLLE"", ""SALTING GRANOLLERS"", ""VIOS BAR"", ""XAVIER LOPEZ CUINA SENSORIAL""]"
67,29,"[""BAR CAN BORRELL"", ""BAR DE TAPES"", ""BAR ESPERANZA"", ""BAR GALICIA"", ""BAR LA BONA SORT ( CAN BORELL )"", ""Bar El Parque"", ""Bar la Cantonada"", ""Bar restaurante Nacha"", ""CACHITO PAN"", ""CAFETERIA TAHOMA"", ""CASA MAURA"", ""CERVESERIA CIUTAT"", ""DAVID FORN DE PA I PASTISSERIA"", ""EL RINCON DEL SOCIO"", ""ESTANC MOLLET 2"", ""EXTREMEÑOS BAR"", ""FORN DE PA EMY"", ""GRAN EMPERADOR RESTAURANTE CHINO"", ""HOMER BAR GRANJA"", ""HOTEL IBIS"", ""Molletveer"", ""NOU CAPRICCIO"", ""NOVA PALMERA"", ""PARAISO BAR"", ""RIVOLI CERVECERIA"", ""SOL Y LUNA"", ""TREBOL CERVECERIA"", ""U.D. MOLLETENSE"", ""XARRUP BAR""]"
77,27,"[""BAR DE LA BENZINERA"", ""BAR DE LA BENZINERA HIGIENE"", ""BAR EL TUPÍ"", ""BAR KARNAK"", ""BAR NURIA ST.JULIA VILATORTA"", ""BAR PAVELLO ST JULIA VILATORTA"", ""CA LA NENA"", ""CAFE BAR CA L'ABEL"", ""CAL CISTELLER"", ""CAL TEIXIDOR"", ""CELLER CALLDETENES"", ""COCA DEL MOSSEN"", ""EL RECO D'EN PERE"", ""FORN ANFRUNS PAVICSA"", ""GUSTUM AREAS 1 (LLEIDA-GIRONA)"", ""GUSTUM AREAS 2 (GIRONA-LLEIDA)"", ""L'ESPAI RESTAURANT"", ""LA COCA DE FOLGUEROLES"", ""LA NOVA LLIMA"", ""LA PIZZETA"", ""MAS L' ALBAREDA"", ""PASTISSERIA CROSSANDRA"", ""RESTAURANT CAN JUBANY"", ""RESTAURANT EL ROSER"", ""RESTAURANT PUIGLAGULLA"", ""Restaurant L'Arumí"", ""SUKIPA""]"
88,23,"[""BAR AVINGUDA"", ""BAR CAMP DE TIR"", ""BK VIC"", ""BOTANIC & FRUITS, S.L."", ""CINEMES SUCRE"", ""CLUB POCKET BIKE"", ""EL MOLI"", ""FRANKFURT C'JOAN"", ""HOTEL BALMES"", ""JUDIT SERRA CORCOLL"", ""LA CAFE"", ""LA DISCO VIG"", ""LA FORJA"", ""LA TAGLIATELLA POLIGON"", ""MGA GP VIC"", ""PALACIO DE ORIENTE"", ""PIZZERIA TOSCANA"", ""RESTAURANTE SOFIA"", ""Restaurant el Punt"", ""SALA LA CABRA"", ""SARABÀ"", ""SUSHI YE"", ""TALLER MECANIC DAVID HOMS""]"
6,22,"[""BAR LA PUÇA"", ""BAR REST.EL CENACHERO"", ""BAR RESTAURANT EL GOT"", ""BAR SNACK"", ""CABANYA MIR"", ""CAL JUTGE"", ""CAN BRANQUES RESTAURANT, S."", ""CAN LIRO"", ""CARNS I EMBOTITS EMPAR"", ""CLUB DARDS BESORA"", ""EL BARETU"", ""EL REBOST DE L'ISABEL"", ""EL SERRADET BAR"", ""ELS FOGONS DE LA NEUS"", ""ENGRUNA POUSA"", ""FORN CAN COMA"", ""L'AURO"", ""L'OLLA ROSTIDORIA"", ""PISCINES SANT QUIRZE"", ""RESTAURANT DORCA"", ""RESTAURANT EL SANTUARI"", ""RESTAURANT ELS AVETS""]"
27,22,"[""BAR ALASKA"", ""BAR CAN MOI"", ""BAR EPORA 2"", ""BAR LA CAVERNA"", ""BAR LA PLAÇA LES FRANQUESES"", ""BAR MIRADOR"", ""BAR PAREDES 4"", ""Bar Els 4 Vents"", ""Bar Restaurante L'Arpa"", ""Bar libra"", ""CAFETERIA DEGUSTACION LA CANTONADA"", ""CARNICERIA RODRIGUEZ"", ""Casal Avis Extremadura"", ""EL BAR DE LA ISA"", ""FLECA BRETCHA (HOSPITAL)"", ""FLECA P.BRETCHA (BELLAVISTA)"", ""HOTEL CIUTAT DE GRANOLLERS"", ""LA TASKA DE CARMEN"", ""PASTISSERIA CAN GANDUXER"", ""RESTAURANTE BUENA SUERTE"", ""RESTAURANTE RAMASSA"", ""RSTE. MESON BELLAVISTA""]"
40,22,"[""AQUI MATEIX"", ""BAR AMISTAD"", ""BAR CAN CERVANTES"", ""BAR EL TACO"", ""BAR LA GAVINA"", ""BAR LA TABERNA"", ""BAR LOS AMIGOS"", ""BAR OLIMPIC"", ""BAR RESTAURANTE MORDISQUITO"", ""BAR TALGO"", ""BAR TIMANFAYA II"", ""Bar Plata"", ""CAFE ORIENT EXPRESS"", ""CAL FORNER"", ""FRANKFURT ARIES"", ""LAPONIA CAFE"", ""PAREDES 4"", ""RESTAURANTE EL SOL"", ""RESTAURANTE SANT SADURNI"", ""RSTE. CHINO GRAN MUNDO"", ""TAPES GRANOLLERS PICA VINS"", ""bar cafeteria yaki""]"
