cluster_id,cluster_size,members_json
0,30,"[""ATARASII"", ""BAR CAPARROS"", ""BAR LA LOLA"", ""BAR LA VERMUTERIA"", ""BAR MERCADO"", ""BAR MORANA"", ""CAFE DE LA CORONA"", ""DESEO"", ""EL FORNET (GRANOLLERS)"", ""EL GLAM MOMENTS"", ""EL MENÚ"", ""EL MIRALLET"", ""EMPANADA CLUB"", ""FLECA P.BRETCHA (PL. MALUQUER)"", ""FRANKFURT LEO BOECK GRANOLLERS"", ""IBERICUS GRANOLLERS"", ""INSTINT RESTAURANT"", ""KYOMI TEA"", ""LA CAMPERIA"", ""LA VERMOOD"", ""MODERN FOOD"", ""NOU PATUFET"", ""PA TONET"", ""PECADOS"", ""RESTAURANT EL CISNE"", ""RESTAURANTE EL SPOT"", ""TABATA"", ""TAPES"", ""UDON GRANOLLERS"", ""YAO SUSHI""]"
1,30,"[""BAR ARAMAN"", ""BAR BUS STOP"", ""BAR KUNDALINI"", ""BAR LONDEN 2"", ""BAR PIRRI"", ""BAR QUINTO I TAPA"", ""BAR REST. MANLLEU"", ""BAR SEGORB NOU"", ""BAR TAPES I TAPETES"", ""BAR UNIO"", ""BAR VILAMIROSA"", ""BAR WEI"", ""BON PROFIT"", ""CAFE ANTIC"", ""CROISSANTERIA CAPRICI"", ""CROISSANTERIA NACCAR"", ""DÉJÀ VU"", ""E.S MANLLEU"", ""EL MOLINET"", ""El Racó de la Gina"", ""FRANFURT 86"", ""GIOVANNI"", ""GRANJA CAFETERIA ROMA"", ""HLT"", ""JAVIS 3"", ""LES GARGOLES DEL NORD"", ""REST.CAL BATLLE"", ""SALTING GRANOLLERS"", ""VIOS BAR"", ""XAVIER LOPEZ CUINA SENSORIAL""]"
2,30,"[""2 PRINCIPE"", ""ALOE"", ""AREA TRUCK ( SHELL )"", ""AURIAL PADEL"", ""BAR AVINGUDA"", ""BAR CAFETERIA VIC"", ""BAR CAMP DE TIR"", ""BAR PIRINEO"", ""BAR PRIEGO"", ""BAR SANTA ANNA"", ""BAR SOL NOU"", ""BAR TAVERNA D'PAS"", ""BAR ÑAM LLODO"", ""CA LA NATI"", ""CAFETERIA LISA"", ""CAL OCELLAIRES"", ""CAN BERNAT"", ""CASAL DE LA GENT GRAN"", ""CLUB BASQUET VIC"", ""EL RETORN"", ""FONTSECA, BAR"", ""PADEL OSONA GURB"", ""PARENTHESIS"", ""PULIT, S.A"", ""RESTAURANTE SOFIA"", ""SAZON DE LOS APOLOS"", ""TACO BELL VIC"", ""VINS I BEGUDES REMEI"", ""ZONA DIESEL"", ""ZONA DIESEL URBAN""]"
3,30,"[""ALBA AUDIOVISUALS"", ""ATENEU ALIANÇA"", ""BAR CA LA MARI"", ""BAR LA GRANJA"", ""BAR LA PRADERA"", ""BAR SERRA LLIÇA"", ""BAR TOLIN"", ""BAR XEICA"", ""CAFETERIA GAUDEIX"", ""CAN OLIVER BAR"", ""CAN SANO"", ""CLUB ESPORTIU LLIÇA D'AMUNT"", ""CULTURAL LA FABRICA"", ""Ca la Cisca"", ""EL RACO DE LA PETRA"", ""EL SAZON DE ROSARIO"", ""EL TIRO DE GRANOLLERS"", ""GRANJA Ca LA MARÍA"", ""LA LLAR DE FOC I"", ""LA PARDITA"", ""MESON 20 P KA"", ""Madow Shisha Lounge"", ""PADEL ARGELAGUES"", ""PADELIN"", ""PISCINAS LLIÇA DE MUNT"", ""RESTAURANTE MERITXELL"", ""RINCON DEL DUENDE"", ""RSTE. BONA TAULA"", ""RSTE. LA PAGESA"", ""SNACK BAR OASIS""]"
4,30,"[""BAR CAN PLANOLES"", ""BAR EL TROPEZON"", ""BAR ESTACIO SERVEI FEIXES AULET ROD"", ""BAR FOMENT"", ""BAR KOALA"", ""BAR LA MOSSEGADA"", ""BAR LA PARADA"", ""BAR LES VOLTES"", ""BAR LOS CAZADORES MANLLEU"", ""BAR MERCAT"", ""BAR NOU"", ""BAR PUIG-MEALS"", ""BAR RESTAURANT THIANA"", ""BAR SANT SEBASTIA"", ""BAR VILLA"", ""CAFETERIA DULCE DALIA"", ""CAFETERIA PIZZERIA EL PONT"", ""CAMP DE FUTBOL DE RODA"", ""CAN JANOT RESTAURANT"", ""CREPERIA"", ""E.S. RODA ( BOTIGA )"", ""ESPURNA DEL TER"", ""FONDA URGELL"", ""FORN CAN QUEL"", ""IL PICCOLO BIONDO"", ""PARADOR VIC - SAU"", ""PIANOLA BAR"", ""PUB XAUXA"", ""Restaurant El Roquet"", ""Restaurant Fussimanya""]"
5,30,"[""ANGEL BRUGUERA FONT"", ""ANTIC FORN RIERA CENTELLES"", ""BAR AYTA"", ""BAR CAN TON, S.C.P"", ""BAR ELS ESTUDIS"", ""BAR KANGMIYU"", ""BAR OLIVEDA"", ""BODEGA CAPDEVILA"", ""CAMPING LA VALL"", ""CAN PAIROT"", ""CANSALADERIA MOLIST"", ""COLLA GRILLATS"", ""COMERCIAL F.LEIVA"", ""ESCOLA D'HOSTALERIA D'OSONA"", ""Els Angelets de Sobrevia"", ""FORN PUIGVENDRELLO"", ""FUTBOL STA. EULALIA"", ""HOSPITAL DE MANLLEU CAFETERIA"", ""HOSPITAL DE MANLLEU CUINA"", ""INDIA ''ESCLAT''"", ""L'ESTANYOL RESTAURANT"", ""LA FORJA"", ""MASIA LA ROCA"", ""NOVA OFICINA"", ""RESTAURANT CAL XORIGUER"", ""RESTAURANT LA FERRERIA"", ""ROSTISSERIA LA PARADA"", ""Restaurant bar Mundial"", ""SERRAT PLANES BONES"", ""WAYE 66""]"
6,30,"[""AIRE"", ""AUTENTIK’S CAMPO DE FUTBOL"", ""BAR CASAL CAMPRODON"", ""BAR CLAVE"", ""BAR LA PENYA - 2"", ""BAR LA PENYA 1"", ""BAR PETIT"", ""BAR ZEMNU"", ""Bar Gat Negre"", ""Bar Troika"", ""CA L'ANNA"", ""CAL NASIET"", ""CASAL CIVIC TERRASSA"", ""Cafeteria Nova & Gent"", ""DIR SANT CUGAT"", ""Dolç i Salat Cuba"", ""EL DEHESA"", ""EL PUNT DE TROBADA"", ""ELS PAGESOS"", ""FORN CAFETERIA AVENIDA"", ""FORN SANT MIQUEL"", ""FRANKFURT REITER"", ""HOSTAL CAL XIC"", ""HOTEL RESGUARD DELS VENTS"", ""Hotel Solana Del Ter"", ""IBERICUS CENTRAL"", ""INNOGANDO"", ""La Indiana Gastro & Gelato"", ""Pavelló Municipal de Ripoll"", ""Pizzeria Daniele""]"
7,30,"[""BAR DE LA BENZINERA"", ""BAR DE LA BENZINERA HIGIENE"", ""BAR EL TUPÍ"", ""BAR KARNAK"", ""BAR NURIA ST.JULIA VILATORTA"", ""BAR PAVELLO ST JULIA VILATORTA"", ""CA LA NENA"", ""CAFE BAR CA L'ABEL"", ""CAL CISTELLER"", ""CAL TEIXIDOR"", ""CELLER CALLDETENES"", ""COCA DEL MOSSEN"", ""EL RECO D'EN PERE"", ""FORN ANFRUNS PAVICSA"", ""FORN EL VERDAGUER"", ""FORN ESTADI"", ""GUSTUM AREAS 1 (LLEIDA-GIRONA)"", ""GUSTUM AREAS 2 (GIRONA-LLEIDA)"", ""L'ESPAI RESTAURANT"", ""LA COCA DE FOLGUEROLES"", ""LA NOVA LLIMA"", ""LA PIZZETA"", ""MAS L' ALBAREDA"", ""PASTISSERIA CROSSANDRA"", ""RESTAURANT CAN JUBANY"", ""RESTAURANT EL ROSER"", ""RESTAURANT PUIGLAGULLA"", ""Restaurant L'Arumí"", ""SUKIPA"", ""TRINACRIA""]"
12,30,"[""ASSEMBLEA JOVE VIC"", ""ASSOCIACIO CULTURAL SAGALS D'OSONA"", ""BAR CHAPLIN"", ""BAR LA PISTA"", ""BAR LA TASCA"", ""BAR LA TORTUGA"", ""BAR STACJA PL"", ""BAR UE VIC"", ""BOCATTI BAR"", ""BUSVIC"", ""CAFETERIA VIVARI"", ""EL PONT GOTIC"", ""ENTREPA I PA"", ""FORN DE PA EL REMEI"", ""FUSSIMANYA ESTADI"", ""GARBI BISTROT"", ""HOTEL STOP"", ""INDIA RAMBLA"", ""JUDIT SERRA CORCOLL"", ""LA COVA DEL VERMUT"", ""LLAR JUVENIL"", ""LUCKY"", ""PADEL OSONA VIC"", ""PALACIO DE ORIENTE"", ""RESTAURANT CROAKS VIC"", ""ROCK HOUSE"", ""RUKU RESTAURANT"", ""SEGAFREDO"", ""VERNISSAGE"", ""VIC POOL""]"
13,30,"[""AREA DELS PARDALS-GASOLI"", ""AREA VIC BP"", ""BAR CAFETERIA LA PONCELLA"", ""BAR CATALUNYA (ST.JULIA)"", ""BAR GRACE"", ""BAR L'OLLA"", ""BAR LA PLACETA"", ""BAR TREBOL"", ""Bagel Coffee"", ""CAF# DE LES LLETRES, S.C.P"", ""CAFETERIA SANT TOMÀS"", ""CANTABRIA RESTAURANT"", ""CANTINA IES VIC ST TOMAS"", ""EL 9 TONI PETIT"", ""EL CAPUTXI"", ""EL PERNILER"", ""FETNOSTREVIC"", ""FORN DEL CARME"", ""FORN PUJOLS"", ""FORN SANT ALBERT"", ""GRANGES LA CATALANA"", ""LA CABANYA CAFETERIA"", ""LA CABRA BAR"", ""Llegums Cuits Cal Marcel·lí"", ""MINI BRINDIS, BAR"", ""PANADERIA GRANIER"", ""PANIFICADORA VIC, S.A."", ""PRAGMA PROFESSIONAL"", ""RESTAURANT ELS PERNILS"", ""TKBNA""]"
