truck_id,truck_type,capacity,total_weight,remaining_capacity,utilization,order_count,distinct_clusters,cluster_ids
12,large,8.0,8.0,0.0,1.0,1,1,['__UNKNOWN_CLUSTER__']
1,standard,6.0,5.989333333333332,0.01066666666666832,0.998222222222222,3,1,['__UNKNOWN_CLUSTER__']
2,standard,6.0,6.0,5.551115123125783e-17,1.0,2,1,['__UNKNOWN_CLUSTER__']
3,standard,6.0,5.985333333333334,0.01466666666666605,0.9975555555555556,3,1,['__UNKNOWN_CLUSTER__']
4,standard,6.0,6.0,0.0,1.0,3,3,"['26.0', '34.0', '__UNKNOWN_CLUSTER__']"
0,van,3.0,2.993333333333333,0.00666666666666671,0.9977777777777778,2,1,['__UNKNOWN_CLUSTER__']
5,standard,6.0,5.994666666666667,0.0053333333333331345,0.9991111111111112,5,2,"['20.0', '__UNKNOWN_CLUSTER__']"
6,standard,6.0,5.996,0.0039999999999996115,0.9993333333333334,6,6,"['0.0', '21.0', '26.0', '28.0', '46.0', '__UNKNOWN_CLUSTER__']"
7,standard,6.0,5.998,0.001999999999999346,0.9996666666666667,7,4,"['15.0', '26.0', '4.0', '__UNKNOWN_CLUSTER__']"
8,standard,6.0,5.9959999999999996,0.004000000000000061,0.9993333333333333,9,3,"['33.0', '4.0', '__UNKNOWN_CLUSTER__']"
9,standard,6.0,5.989333333333333,0.010666666666666436,0.9982222222222221,10,3,"['39.0', '45.0', '__UNKNOWN_CLUSTER__']"
10,standard,6.0,6.0,7.580741590018647e-16,1.0,14,3,"['11.0', '34.0', '__UNKNOWN_CLUSTER__']"
11,standard,6.0,5.9993333333333325,0.0006666666666658716,0.9998888888888887,16,10,"['10.0', '15.0', '18.0', '23.0', '26.0', '33.0', '34.0', '39.0', '6.0', '__UNKNOWN_CLUSTER__']"
13,large,8.0,7.367333333333333,0.6326666666666688,0.9209166666666666,49,13,"['15.0', '21.0', '24.0', '26.0', '31.0', '33.0', '36.0', '39.0', '4.0', '45.0', '46.0', '48.0', '__UNKNOWN_CLUSTER__']"
