truck_id,truck_type,capacity,total_weight,remaining_capacity,utilization,order_count,distinct_clusters,cluster_ids
12,large,8.0,8.0,0.0,1.0,1,1,['__UNKNOWN_CLUSTER__']
1,standard,6.0,5.999999999999999,7.181755190543981e-16,0.9999999999999999,3,2,"['10.0', '__UNKNOWN_CLUSTER__']"
2,standard,6.0,5.999333333333333,0.0006666666666666349,0.9998888888888889,3,3,"['11.0', '17.0', '__UNKNOWN_CLUSTER__']"
3,standard,6.0,5.996,0.003999999999999837,0.9993333333333334,4,2,"['4.0', '__UNKNOWN_CLUSTER__']"
0,van,3.0,2.992666666666667,0.007333333333333081,0.9975555555555556,2,2,"['4.0', '52.0']"
4,standard,6.0,5.996666666666666,0.0033333333333334103,0.9994444444444444,4,2,"['44.0', '__UNKNOWN_CLUSTER__']"
5,standard,6.0,5.994,0.006000000000000116,0.999,6,3,"['17.0', '64.0', '__UNKNOWN_CLUSTER__']"
6,standard,6.0,5.994,0.005999999999999894,0.999,7,4,"['10.0', '36.0', '62.0', '__UNKNOWN_CLUSTER__']"
7,standard,6.0,5.992,0.00800000000000023,0.9986666666666667,11,3,"['31.0', '4.0', '__UNKNOWN_CLUSTER__']"
8,standard,6.0,5.998,0.002000000000000113,0.9996666666666667,17,6,"['22.0', '31.0', '4.0', '41.0', '7.0', '__UNKNOWN_CLUSTER__']"
9,standard,6.0,5.4079999999999995,0.5919999999999999,0.9013333333333332,38,10,"['0.0', '22.0', '4.0', '41.0', '44.0', '46.0', '6.0', '64.0', '76.0', '__UNKNOWN_CLUSTER__']"
