query,lat,lon,error
"CARRER SUSQUEDA 18, 08500 VIC, Spain",41.9543606,2.2787408,
"Carrer Torelló 57, 08500 VIC, Spain",41.9339248,2.2664487,
"CALLE MATARO S/N, 08500 VIC, Spain",41.9400424,2.2503642,
"CTRA. SANT HIPÒLIT 61, 08500 VIC, Spain",41.943396,2.253052,
"Carrer de Figueres 1"CTRA. SANT HIPÒLIT 61, 08500 VIC, Spain",41.9432633,2.2524996,
"Carrer de Figueres 14, 08500 VIC, Spain",41.9427456,2.2515181,
"Carrer de Francesc Pla el Vigatà 1, 08500 VIC, Spain",,,"InsufficientResponseError(""Nominatim could not geocode query 'Carrer de Francesc Pla el Vigatà 1, 08500 VIC, Spain'."")"
"Carrer del Mas de la Móra 9, 08500 VIC, Spain",,,"InsufficientResponseError(""Nominatim could not geocode query 'Carrer del Mas de la Móra 9, 08500 VIC, Spain'."")"
"Carrer Santiago Ramon y Cajal 93, 08500 VIC, Spain",41.94402,2.2596812,
"Carrer de Lleida 35, 08500 VIC, Spain",41.9463972,2.2688014,
"Avinguda de Pius XII 11, 08500 VIC, Spain",41.9232104,2.2535786,
"AVENIDA OLIMPIA S/N, 08500 VIC, Spain",,,"InsufficientResponseError(""Nominatim could not geocode query 'AVENIDA OLIMPIA S/N, 08500 VIC, Spain'."")"
"CALLE DOCTOR JUNYENT 8, 08500 VIC, Spain",,,"InsufficientResponseError(""Nominatim could not geocode query 'CALLE DOCTOR JUNYENT 8, 08500 VIC, Spain'."")"
"CALLE LA LLOTJA 9, 08500 VIC, Spain",,,"InsufficientResponseError(""Nominatim could not geocode query 'CALLE LA LLOTJA 9, 08500 VIC, Spain'."")"
"Carrer del Pare Coll 2, 08500 VIC, Spain",41.9352856,2.253249,
8500 VIC, Spain",41.922476,2.256675,
"CALLE RIPOLL 67, 08500 VIC, Spain",41.9469832,2.2576833,
"AVENIDA ESTADI 13, 08500 VIC, Spain",41.920862,2.25453,
"AVENIDA PIUS XII 18, 08500 VIC, Spain",41.923405,2.254285,
"CALLE RAIMON D'ABADAL 23, 08500 VIC, Spain",41.921799,2.250583,
"CALLE VIRREI AVILES 28, 08500 VIC, Spain",41.921572,2.251135,
"CALLE MIRAMARGES 1, 08500 VIC, Spain",41.932564,2.248021,
"CALLE SABADELL 04-jun, 08500 VIC, Spain",41.940418,2.252714,
"CALLE SOLEDAT 4, 08500 VIC, Spain",41.926452,2.255081,
"ESCOLA 12, 08500 VIC, Spain",41.93233725852713,2.248581807105943,
"RAMBLA PASSEIG 10, 08500 VIC, Spain",41.930446,2.255879,
"Carrer de Gurb 36, 08500 VIC, Spain",41.932088,2.2527112,
"CALLE TORELLO 25, 08500 VIC, Spain",41.930831,2.265361,
"PLAZA PES 6, 08500 VIC, Spain",41.930091,2.255038,
"RODA 95, 08500 VIC, Spain",41.955296,2.281823,
"CALLE ERMITA DE SANT SIXT 11, 08500 VIC, Spain",41.92862,2.243415,
"AVENIDA SANT BERNAT CALBO 23, 08500 VIC, Spain",41.93506,2.258767,
"CALLE SANTA JOAQUIMA DE VEDRUNA 29, 08500 VIC, Spain",41.930347,2.259699,
"Carretera de Manlleu 7, 08500 VIC, Spain",41.9366846,2.2548685,
"RAMBLA DAVALLADES 21, 08500 VIC, Spain",41.9311045,2.2532078,
"CALLE DOCTOR JUNYENT S/N, 08500 VIC, Spain",41.93233725852713,2.248581807105943,
"CALLE MANLLEU 5, 08500 VIC, Spain",41.931448,2.255183,
"CARRETERA PRATS DE LLUÇANES 2, 08500 VIC, Spain",41.9278558,2.2444589,
"CALLE LA LLOTJA 3, 08500 VIC, Spain",41.927238,2.246768,
"CALLE RIERA 5, 08500 VIC, Spain",41.929871,2.253769,
"PLAZA SANTS MARTIRS 12, 08500 VIC, Spain",41.931105,2.258059,
"CALLE BISBE MORGADES 36, 08500 VIC, Spain",41.931667,2.250674,
"PLAZA PIETAT 8, 08500 VIC, Spain",41.929046,2.256428,
"Carretera de Manlleu 90, 08500 VIC, Spain",41.9366846,2.2548685,
"CALLE FRANCESC PLA EL VIGATA 6, 08500 VIC, Spain",41.93626,2.260873,
"Carretera de Roda 61, 08500 VIC, Spain",41.9350958,2.2636353,
"Plaça de la Pietat 1, 08500 VIC, Spain",41.9290103,2.2568623,
"RONDA FRANCESC CAMPRODON 5, 08500 VIC, Spain",41.934212,2.256218,
"CALLE TAGAMANENT 1, 08500 VIC, Spain",41.919983,2.25679,
"AVENIDA PAISOS CATALANS 82, 08500 VIC, Spain",41.919934,2.25832,
"Carretera de Roda 97, 08500 VIC, Spain",41.9350958,2.2636353,
"RAMON SALA I SAÇALA 15, 08500 VIC, Spain",41.936175,2.261355,
"Rambla de Sant Domènec 1, 08500 VIC, Spain",41.927968,2.2525867,
"Carrer de Manuel Serra i Moret 4, 08500 VIC, Spain",41.93233725852713,2.248581807105943,
"Carrer de Mataró 5, 08500 VIC, Spain",41.9400424,2.2503642,
"Avinguda de l'Abat Marcet 251, 08225 TERRASSA, Spain",41.5742054,2.0038024,
"Carrer de Berenguer III S/N, 08100 MOLLET DEL VALLES, Spain",41.5393484,2.2130934,
"CALLE BERENGUER III 58, 08100 MOLLET DEL VALLÈS, Spain",41.5373566,2.213943,
"Plaça Major 9, 08100 MOLLET DEL VALLES, Spain",41.5364182,2.2108199,
"CALLE REC DE DALT 21-23, 08100 MOLLET DEL VALLES, Spain",41.5487678,2.2261548,
"AVENIDA RAFAEL CASANOVA 8, 08100 MOLLET DEL VALLES, Spain",41.537922,2.210948,
"CALLE FRANCESC FERRER I GUARDIA 9, 08100 MOLLET DEL VALLÈS, Spain",41.5487496,2.2080131,
"CALLE JOAQUIM MIR 49, 08100 MOLLET DEL VALLÈS, Spain",41.547076,2.218556,
"Carrer de Can Flequer 17, 08100 MOLLET DEL VALLES, Spain",41.5442014,2.2214794,
"Via de Ronda 73, 08100 MOLLET DEL VALLÈS, Spain",41.5407351,2.2076723,
"CALLE RAFAEL CASANOVAS 81, 08100 MOLLET DEL VALLES, Spain",41.5393484,2.2130934,
"PLAZA PRAT DE LA RIBA 21, 08100 MOLLET DEL VALLES, Spain",41.538483,2.213333,
"RAMBLA DE BALMES 16, 08100 MOLLET DEL VALLES, Spain",41.5374013,2.2144027,
"AVENIDA BURGOS 63, 08100 MOLLET DEL VALLES, Spain",41.532789,2.208107,
"PLAZA PRAT DE LA RIBA 20, 08100 MOLLET DEL VALLES, Spain",41.5385494,2.2134024,
"PLAZA CATALUNYA 9, 08100 MOLLET DEL VALLES, Spain",41.538065,2.213204,
"Carrer de Joaquim Mir 53, 08100 MOLLET DEL VALLES, Spain",41.547142,2.218735,
"Carrer de Joan Maragall 19, 08100 MOLLET DEL VALLES, Spain",41.5365029,2.2064397,
"Carrer de Gallecs 71, 08100 MOLLET DEL VALLES, Spain",41.5479653,2.2076124,
"RONDA 7, 08100 MOLLET DEL VALLES, Spain",41.5440412,2.2127912,
"CALLE CAN PARERA 22, 08100 MOLLET DEL VALLES, Spain",41.5393484,2.2130934,
"CALLE PROVENÇA 200, 08226 TERRASSA, Spain",41.58278,2.023791,
"CALLE LAS CREMADES S/N, 08140 CALDES DE MONTBUI, Spain",41.632265,2.1676442,
"CARRETERA D'OLOT 7, 08560 MANLLEU, Spain",42.0016502,2.2872329,
"LUGAR BRUGUERA S/N, 08560 MANLLEU, Spain",41.9999811,2.2841159,
"Carrer de Doña Blanca 168, 08560 MANLLEU, Spain",42.0065077,2.2797769,
"Carretera d'Olot 7, 08560 MANLLEU, Spain",42.0016502,2.2872329,
"CALLE DOCTOR FLEMING 20, 08560 MANLLEU, Spain",42.002098,2.283213,
"Plaça de Fra Bernadí 32, 08560 MANLLEU, Spain",42.000381,2.284384,
"CARRER PINTOR GUARDIA 6, 08560 MANLLEU, Spain",42.0082431,2.2817483,
"Carretera d'Olot 50, 08560 MANLLEU, Spain",42.001834,2.288971,
"Carrer de Vélez Rubio 12, 08918 BADALONA, Spain",41.4356616,2.2269093,
"TORRES I BAGES 1-3, 08402 GRANOLLERS, Spain",41.6100748,2.29038,
"Carrer d'Apel·les Mestres 2, 08402 GRANOLLERS, Spain",41.6152476,2.2917312,
"CALLE MONTSENY 10, 08402 GRANOLLERS, Spain",41.609937,2.302422,
"CALLE SANT ROC 19, 08402 GRANOLLERS, Spain",41.608373,2.288528,
"PLAZA JOSEP SERRAT I BONASTRE S/N, 08402 GRANOLLERS, Spain",41.599622,2.290592,
"Carrer d'Emili Botey Alsina 22, 08402 GRANOLLERS, Spain",41.5975345,2.2884292,
"Carrer de Girona 90, 08402 Granollers, Spain",41.6125316,2.2915374,
"AVENIDA SANT ESTEVE 35, 08402 GRANOLLERS, Spain",41.603624,2.290688,
"Carrer de Girona 4, 08402 GRANOLLERS, Spain",41.6172361,2.2933222,
"CALLE FRANCESC DE MACIÃ€ I LLUSS 44, 08402 GRANOLLERS, Spain",41.604364993478264,2.2908451760869566,
"CALLE CONESTABLE DE PORTUGAL 13, 08402 GRANOLLERS, Spain",41.60521,2.2894,
"CALLE EMILI BOTEY ALSINA 24, 08402 GRANOLLERS, Spain",41.5975345,2.2884292,
"Rambla Josep Tarradellas 5, 08402 GRANOLLERS, Spain",41.606404,2.291615,
"Carrer Llevant 2, 08110 MONTCADA I REIXAC, Spain",41.4772111,2.1886164,
"Passeig del Pitort 103, 08860 CASTELLDEFELS, Spain",41.2715237,1.9778551,
"ARAGON 12, 08520 FRANQUESES DEL VALLES (LES), Spain",41.637318,2.311531,
"CARRETERA DE RIBES, N-152 131, 08520 LES FRANQUESES DEL VALLÈS, Spain",41.6475034,2.3066306,
"CALLE SANTA ESPERAN#A 11, 08401 GRANOLLERS, Spain",41.607645,2.288409,
"PLAZA PORXADA 39, 08401 GRANOLLERS, Spain",41.6078892,2.2867308,
"CALLE JOAN PRIM 177, 08401 GRANOLLERS, Spain",41.614776,2.290676,
"CALLE SANT JOSEP 5, 08401 GRANOLLERS, Spain",41.607455,2.284676,
"CALLE DE CORRO 192, 08401 GRANOLLERS, Spain",41.614132,2.290084,
"Carrer de Pompeu Fabra 15, 08401 GRANOLLERS, Spain",41.6092088,2.2844133,
"CALLE SANT ROC 29, 08401 GRANOLLERS, Spain",41.6083389,2.2884352,
"Avinguda del camí de la fontsan S/N, 08572 SANT PERE DE TORELLÓ, Spain",42.0754755,2.2955862,
"Plaça Sant Fortià 2, 08570 TORELLÓ, Spain",42.049808,2.262882,
"Carrer Joaquim Blume 13, 08105 SANT FOST DE CAMPSENTELLES, Spain",41.5144672,2.23653,
"AVENIDA PAISOS CATALANS S/N, 08186 LLIÇÀ D'AMUNT, Spain",41.613213,2.240444,
"PLAZA PAU PICASSO 9, 08170 MONTORNÈS DEL VALLÈS, Spain",41.541771,2.26847,
