date,transport_id,location_id,client,item,item_description,amount,unit,converted_amount
30/01/2026,11420136,JACINT MAS CORNET,LOS TERESITOS,0CF0357,BONKA ESSENTIA ESPRESSO ITALIANO 1KG,2,un,2.0
30/01/2026,11420136,JACINT MAS CORNET,LOS TERESITOS,0AM1290,XPLICIT AZUCAR 7GR  1000U,1,caj,9.0
30/01/2026,11420136,JACINT MAS CORNET,LOS TERESITOS,0AM1634,XPLICIT EDULCORANTE 1G 150U,1,zpr,
30/01/2026,11420334,JORGE ESCALANTE GUARERAY,HOSPITAL DE MANLLEU CUINA,0AG0007,"FONT D.OR NATURAL 1,5L PET 12U",38,caj,342.0
30/01/2026,11420334,JORGE ESCALANTE GUARERAY,HOSPITAL DE MANLLEU CAFETERIA,0ZU0027,LAMBDA MELOCOTON SIN 20CL 24U,2,caj,18.0
30/01/2026,11420334,JORGE ESCALANTE GUARERAY,HOSPITAL DE MANLLEU CAFETERIA,0ZU0028,LAMBDA NARANJA SIN 20CL 24U,2,caj,18.0
30/01/2026,11420334,JORGE ESCALANTE GUARERAY,BAR OLIVEDA,ED13,ESTRELLA DAMM 1/3 RET. PP,2,caj,18.0
30/01/2026,11420334,JORGE ESCALANTE GUARERAY,BAR OLIVEDA,CJ13,CAJA DAMM+BOT.1/3RET VACIO EN P.PLAS.A13,2,caj,18.0
30/01/2026,11420334,JORGE ESCALANTE GUARERAY,BAR OLIVEDA,0AG0183,VICHY CATALAN GAS 30CL RET 24U,2,caj,18.0
30/01/2026,11420334,JORGE ESCALANTE GUARERAY,BAR OLIVEDA,3ENV0236,C.C. AGUA 1/3 VICHY-FONT D'OR,2,caj,18.0
30/01/2026,11420334,JORGE ESCALANTE GUARERAY,BAR OLIVEDA,0RF0014,ZALA GASEOSA 50CL VID. RET 20U,2,caj,18.0
30/01/2026,11420334,JORGE ESCALANTE GUARERAY,BAR OLIVEDA,3ENV0060,C.C.GASEOSA ZALA SANMY 1/2,2,caj,18.0
30/01/2026,11420334,JORGE ESCALANTE GUARERAY,BAR OLIVEDA,ED13,ESTRELLA DAMM 1/3 RET. PP,1,caj,9.0
30/01/2026,11420334,JORGE ESCALANTE GUARERAY,BAR OLIVEDA,CJ13,CAJA DAMM+BOT.1/3RET VACIO EN P.PLAS.A13,1,caj,9.0
30/01/2026,11420334,JORGE ESCALANTE GUARERAY,COMERCIAL F.LEIVA,0AG0011,VICHY CATALAN GAS 1/2 RET 20U,4,caj,36.0
30/01/2026,11420334,JORGE ESCALANTE GUARERAY,COMERCIAL F.LEIVA,3ENV0041,C.C. AGUA 1/2 VICHY-FONT D'OR,4,caj,36.0
30/01/2026,11420334,JORGE ESCALANTE GUARERAY,COMERCIAL F.LEIVA,0AG0047,FONT D.OR NATURAL 8L GARRAFA 1U,56,caj,504.0
30/01/2026,11420334,JORGE ESCALANTE GUARERAY,COMERCIAL F.LEIVA,3ENV0054,ENVASE GARRAFA FONT D'OR 8L,56,caj,504.0
30/01/2026,11420334,JORGE ESCALANTE GUARERAY,COMERCIAL F.LEIVA,0VE3248,CASA MARIOL VINO GARNATXA TINTO 75CL 6U,2,caj,18.0
