order_date,client_name,material,description,unit,total_quantity
2026-01-30,AKI MISMO,VE32SP,"AGUA VERI 1,5L PET CAJA 12U.",caj,2
2026-01-30,AKI MISMO,VE12,AGUA VERI 1/2 VIDRIO RET.,caj,3
2026-01-30,AKI MISMO,0LI0247,ANIS DEL MONO DULCE 70CL,bot,1
2026-01-30,AKI MISMO,0LI0224,BALLANTINE'S WHISKY 1L,bot,1
2026-01-30,AKI MISMO,1PLV0145,BANDEJA CACAOLAT 6x100ud,caj,3
2026-01-30,AKI MISMO,BRL20V,BARRIL INOX 20L. TANQUETA A16,brl,2
2026-01-30,AKI MISMO,0LI0248,BEEFEATER GIN 1L,bot,1
2026-01-30,AKI MISMO,TB8V,BOTELLAS CARBONICO 8 KG.VACIOS,tb,2
2026-01-30,AKI MISMO,TB8,BOTELLAS CARBONICO 8 KILOS,tb,1
2026-01-30,AKI MISMO,0LI0145,BRUGAL RON AÑEJO 70CL,bot,1
2026-01-30,AKI MISMO,3ENV0236,C.C. AGUA 1/3 VICHY-FONT D'OR,caj,1
2026-01-30,AKI MISMO,3ENV0040,C.C. AGUA 1/4 VICHY-FONT D'OR,caj,1
2026-01-30,AKI MISMO,3ENV0029,C.C. CACAOLAT 30 U.,caj,2
2026-01-30,AKI MISMO,3ENV1281,C.C. LECHE LETONA (NUEVO),caj,4
2026-01-30,AKI MISMO,3ENV0038,C.C.GASEOSA 1/2 FUENTPINOS,caj,2
2026-01-30,AKI MISMO,0LT0032,CACAOLAT VIDRIO 20CL RET 30U,caj,1
2026-01-30,AKI MISMO,CJ13,CAJA DAMM+BOT.1/3RET VACIO EN P.PLAS.A13,caj,22
2026-01-30,AKI MISMO,CJ15,CAJA DAMM+BOT.1/5RET VACIO EN P.PLAS.A13,caj,3
2026-01-30,AKI MISMO,CJ12V,CAJAS COMPLETAS 1/2 V,caj,6
2026-01-30,AKI MISMO,UE902,COPA GRANDE ED,un,18
2026-01-30,AKI MISMO,0VE1419,EL COTO TINTO CRIANZA 75CL 1U,un,2
