order_date,client_name,transport_ids,total_lines,total_quantity,ordered_items
2026-01-30,AKI MISMO,['11420415'],74,231,"[{'material': 'ED13', 'description': 'ESTRELLA DAMM 1/3 RET. PP', 'quantity': 4.0, 'unit': 'caj'}, {'material': 'CJ13', 'description': 'CAJA DAMM+BOT.1/3RET VACIO EN P.PLAS.A13', 'quantity': 4.0, 'unit': 'caj'}, {'material': 'ED15LN', 'description': 'ESTRELLA DAMM 1/5 LN', 'quantity': 2.0, 'unit': 'caj'}, {'material': 'CJ15', 'description': 'CAJA DAMM+BOT.1/5RET VACIO EN P.PLAS.A13', 'quantity': 2.0, 'unit': 'caj'}, {'material': 'FDT13', 'description': 'FREE DAMM TOSTADA 1/3 RET. PP', 'quantity': 1.0, 'unit': 'caj'}, {'material': 'CJ13', 'description': 'CAJA DAMM+BOT.1/3RET VACIO EN P.PLAS.A13', 'quantity': 1.0, 'unit': 'caj'}, {'material': 'FDL13', 'description': 'FREE DAMM LIMON 1/3 RET. PP', 'quantity': 1.0, 'unit': 'caj'}, {'material': 'CJ13', 'description': 'CAJA DAMM+BOT.1/3RET VACIO EN P.PLAS.A13', 'quantity': 1.0, 'unit': 'caj'}, {'material': 'NTL13LT6', 'description': 'NESTEA LIMON 1/3 LATA 4U-PACK 6U.', 'quantity': 1.0, 'unit': 'caj'}, {'material': 'VE32SP', 'description': 'AGUA VERI 1,5L PET CAJA 12U.', 'quantity': 2.0, 'unit': 'caj'}, {'material': 'VE12', 'description': 'AGUA VERI 1/2 VIDRIO RET.', 'quantity': 3.0, 'unit': 'caj'}, {'material': 'CJ12V', 'description': 'CAJAS COMPLETAS 1/2 V', 'quantity': 3.0, 'unit': 'caj'}, {'material': '0AG0183', 'description': 'VICHY CATALAN GAS 30CL RET 24U', 'quantity': 1.0, 'unit': 'caj'}, {'material': '3ENV0236', 'description': ""C.C. AGUA 1/3 VICHY-FONT D'OR"", 'quantity': 1.0, 'unit': 'caj'}, {'material': '0RF0006', 'description': 'FUENTPINOS\xa0GASEOSA\xa050CL\xa0RET 20U', 'quantity': 1.0, 'unit': 'caj'}, {'material': '3ENV0038', 'description': 'C.C.GASEOSA\xa01/2\xa0FUENTPINOS', 'quantity': 1.0, 'unit': 'caj'}, {'material': '0LI0044', 'description': 'MAGNO BRANDY 70CL', 'quantity': 1.0, 'unit': 'bot'}, {'material': '0LI0047', 'description': 'TERRY BRANDY CENTENARIO 1L', 'quantity': 1.0, 'unit': 'bot'}, {'material': '0LI0204', 'description': 'J&B RARE WHISKY 1L', 'quantity': 1.0, 'unit': 'bot'}, {'material': '0LI0224', 'description': ""BALLANTINE'S WHISKY 1L"", 'quantity': 1.0, 'unit': 'bot'}, {'material': '0LI0032', 'description': 'PORTHOS CAZALLA 1L', 'quantity': 1.0, 'unit': 'bot'}, {'material': '0LI0141', 'description': 'MARIE BRIZARD ANIS 1L', 'quantity': 1.0, 'unit': 'bot'}, {'material': '0LI0247', 'description': 'ANIS DEL MONO DULCE 70CL', 'quantity': 1.0, 'unit': 'bot'}, {'material': '0LI2687', 'description': 'P-BAILEYS ORI.CREMA WHISKY 1L', 'quantity': 2.0, 'unit': 'un'}, {'material': '0VE0123', 'description': 'J.SALLA MOSCATELL 75CL 1U', 'quantity': 1.0, 'unit': 'bot'}, {'material': '0LI0172', 'description': ""SEAGRAM'S GIN  EXTRA DRY 70CL"", 'quantity': 1.0, 'unit': 'bot'}, {'material': '0LI0248', 'description': 'BEEFEATER GIN 1L', 'quantity': 1.0, 'unit': 'bot'}, {'material': '0LI0346', 'description': 'PUERTO DE INDIAS STRAWBERRY GIN 70CL', 'quantity': 1.0, 'unit': 'bot'}, {'material': '0LI0719', 'description': 'LAGAR DO FRADE ORUJO DE HIERBAS PET 3L', 'quantity': 1.0, 'unit': 'bot'}, {'material': '0LI0720', 'description': ""LAGAR DO FRADE CREMA D'ORUJO PET 3L"", 'quantity': 1.0, 'unit': 'bot'}, {'material': '0LI0145', 'description': 'BRUGAL RON AÑEJO 70CL', 'quantity': 1.0, 'unit': 'bot'}, {'material': '0LT0032', 'description': 'CACAOLAT VIDRIO 20CL RET 30U', 'quantity': 1.0, 'unit': 'caj'}, {'material': '3ENV0029', 'description': 'C.C. CACAOLAT 30 U.', 'quantity': 1.0, 'unit': 'caj'}, {'material': '0LT0009', 'description': 'LETONA GRAN CREME 1L VR 12U', 'quantity': 1.0, 'unit': 'caj'}, {'material': '3ENV1281', 'description': 'C.C. LECHE LETONA (NUEVO)', 'quantity': 1.0, 'unit': 'caj'}, {'material': '0LT0235', 'description': 'LA LEVANTINA AVENA ESP.HOST 1L 6U', 'quantity': 1.0, 'unit': 'caj'}, {'material': '0ZU0021', 'description': 'GRANINI NARANJA 20CL 24U', 'quantity': 1.0, 'unit': 'caj'}, {'material': '0ZU0020', 'description': 'GRANINI MELOCOTON  20CL 24U', 'quantity': 1.0, 'unit': 'caj'}, {'material': 'TB8', 'description': 'BOTELLAS CARBONICO\xa08 KILOS', 'quantity': 1.0, 'unit': 'tb'}, {'material': 'TB8V', 'description': 'BOTELLAS CARBONICO 8 KG.VACIOS', 'quantity': 1.0, 'unit': 'tb'}, {'material': '0VE0524', 'description': 'SEÑORIO DE LIZIA VERDEJO RUEDA 75CL 6U', 'quantity': 1.0, 'unit': 'caj'}, {'material': '0VE0507', 'description': 'HALLAZGO CRIANZA 75CL 6U', 'quantity': 1.0, 'unit': 'caj'}, {'material': '0VE1419', 'description': 'EL COTO TINTO CRIANZA 75CL 1U', 'quantity': 2.0, 'unit': 'un'}, {'material': '0VE0463', 'description': 'SOLAR DE ZUNIL TINTO 75CL 6U', 'quantity': 1.0, 'unit': 'caj'}, {'material': '3ENV0029', 'description': 'C.C. CACAOLAT 30 U.', 'quantity': 1.0, 'unit': 'caj'}, {'material': '3ENV0038', 'description': 'C.C.GASEOSA\xa01/2\xa0FUENTPINOS', 'quantity': 1.0, 'unit': 'caj'}, {'material': '3ENV0040', 'description': ""C.C. AGUA 1/4 VICHY-FONT D'OR"", 'quantity': 1.0, 'unit': 'caj'}, {'material': 'BRL20V', 'description': 'BARRIL INOX 20L. TANQUETA A16', 'quantity': 1.0, 'unit': 'brl'}, {'material': 'CJ12V', 'description': 'CAJAS COMPLETAS 1/2 V', 'quantity': 3.0, 'unit': 'caj'}, {'material': 'CJ13', 'description': 'CAJA DAMM+BOT.1/3RET VACIO EN P.PLAS.A13', 'quantity': 12.0, 'unit': 'caj'}, {'material': 'TB8V', 'description': 'BOTELLAS CARBONICO 8 KG.VACIOS', 'quantity': 1.0, 'unit': 'tb'}, {'material': '3ENV1281', 'description': 'C.C. LECHE LETONA (NUEVO)', 'quantity': 2.0, 'unit': 'caj'}, {'material': 'UE050', 'description': 'VASO CAÑA GASTRO 25CL ED CAT', 'quantity': 108.0, 'unit': 'un'}, {'material': 'UC263', 'description': 'PIZARRA CON SOPORTE ED', 'quantity': 1.0, 'unit': 'un'}, {'material': 'UE902', 'description': 'COPA GRANDE ED', 'quantity': 18.0, 'unit': 'un'}, {'material': '1PLV0013', 'description': 'VASO CACAOLAT 6 UNIDADES', 'quantity': 1.0, 'unit': 'caj'}, {'material': '1PLV0145', 'description': 'BANDEJA CACAOLAT 6x100ud', 'quantity': 3.0, 'unit': 'caj'}, {'material': '1PLV230', 'description': 'JARRA LECHE LETONA 1U', 'quantity': 1.0, 'unit': 'un'}, {'material': '1PLV994', 'description': 'JARRA LECHE LEVANTINA 1U', 'quantity': 1.0, 'unit': 'un'}, {'material': '1PLV0011', 'description': 'VASO GRANINI', 'quantity': 1.0, 'unit': 'un'}, {'material': 'ED13', 'description': 'ESTRELLA DAMM 1/3 RET. PP', 'quantity': 2.0, 'unit': 'caj'}, {'material': 'CJ13', 'description': 'CAJA DAMM+BOT.1/3RET VACIO EN P.PLAS.A13', 'quantity': 2.0, 'unit': 'caj'}, {'material': 'ED15LN', 'description': 'ESTRELLA DAMM 1/5 LN', 'quantity': 1.0, 'unit': 'caj'}, {'material': 'CJ15', 'description': 'CAJA DAMM+BOT.1/5RET VACIO EN P.PLAS.A13', 'quantity': 1.0, 'unit': 'caj'}, {'material': 'FD13', 'description': 'FREE DAMM 1/3 RET.', 'quantity': 1.0, 'unit': 'caj'}, {'material': 'CJ13', 'description': 'CAJA DAMM+BOT.1/3RET VACIO EN P.PLAS.A13', 'quantity': 1.0, 'unit': 'caj'}, {'material': 'VO13', 'description': 'VOLL-DAMM 1/3 RET.', 'quantity': 1.0, 'unit': 'caj'}, {'material': 'CJ13', 'description': 'CAJA DAMM+BOT.1/3RET VACIO EN P.PLAS.A13', 'quantity': 1.0, 'unit': 'caj'}, {'material': '0ZU0024', 'description': 'GRANINI PIÑA 20CL 24U', 'quantity': 1.0, 'unit': 'caj'}, {'material': '0ZU0026', 'description': 'GRANINI MANZANA  20CL 24U', 'quantity': 1.0, 'unit': 'caj'}, {'material': 'TU20', 'description': 'TURIA BARRIL 20L.', 'quantity': 1.0, 'unit': 'brl'}, {'material': 'BRL20V', 'description': 'BARRIL INOX 20L. TANQUETA A16', 'quantity': 1.0, 'unit': 'brl'}, {'material': '0LT0009', 'description': 'LETONA GRAN CREME 1L VR 12U', 'quantity': 1.0, 'unit': 'caj'}, {'material': '3ENV1281', 'description': 'C.C. LECHE LETONA (NUEVO)', 'quantity': 1.0, 'unit': 'caj'}]"
2026-01-30,ALORA,['11420416'],15,25,"[{'material': 'ED13', 'description': 'ESTRELLA DAMM 1/3 RET. PP', 'quantity': 2.0, 'unit': 'caj'}, {'material': 'CJ13', 'description': 'CAJA DAMM+BOT.1/3RET VACIO EN P.PLAS.A13', 'quantity': 2.0, 'unit': 'caj'}, {'material': 'ED15LN', 'description': 'ESTRELLA DAMM 1/5 LN', 'quantity': 1.0, 'unit': 'caj'}, {'material': 'CJ15', 'description': 'CAJA DAMM+BOT.1/5RET VACIO EN P.PLAS.A13', 'quantity': 1.0, 'unit': 'caj'}, {'material': '0LT0032', 'description': 'CACAOLAT VIDRIO 20CL RET 30U', 'quantity': 1.0, 'unit': 'caj'}, {'material': '3ENV0029', 'description': 'C.C. CACAOLAT 30 U.', 'quantity': 1.0, 'unit': 'caj'}, {'material': 'NTL13LT6', 'description': 'NESTEA LIMON 1/3 LATA 4U-PACK 6U.', 'quantity': 1.0, 'unit': 'caj'}, {'material': '0AM1167', 'description': 'MARINAS PATATAS OLIVA 47G  10U', 'quantity': 2.0, 'unit': 'caj'}, {'material': 'UE902', 'description': 'COPA GRANDE ED', 'quantity': 6.0, 'unit': 'un'}, {'material': 'ED13', 'description': 'ESTRELLA DAMM 1/3 RET. PP', 'quantity': 1.0, 'unit': 'caj'}, {'material': 'CJ13', 'description': 'CAJA DAMM+BOT.1/3RET VACIO EN P.PLAS.A13', 'quantity': 1.0, 'unit': 'caj'}, {'material': 'VO13', 'description': 'VOLL-DAMM 1/3 RET.', 'quantity': 1.0, 'unit': 'caj'}, {'material': 'CJ13', 'description': 'CAJA DAMM+BOT.1/3RET VACIO EN P.PLAS.A13', 'quantity': 1.0, 'unit': 'caj'}, {'material': '0LM0790', 'description': 'DPALILLO AGITADOR MADERA 110x6x1,5 500U', 'quantity': 1.0, 'unit': 'pak'}, {'material': '0LT0034', 'description': 'LETONA SEMI ESPEC HOSTELERIA PET 1,5L 6U', 'quantity': 3.0, 'unit': 'caj'}]"
2026-01-30,ASSOCIACIO CULTURAL SAGALS D'OSONA,['11420393'],15,86,"[{'material': 'FD13', 'description': 'FREE DAMM 1/3 RET.', 'quantity': 1.0, 'unit': 'caj'}, {'material': 'CJ13', 'description': 'CAJA DAMM+BOT.1/3RET VACIO EN P.PLAS.A13', 'quantity': 1.0, 'unit': 'caj'}, {'material': 'EC13', 'description': 'DAURA DAMM 1/3 RET.', 'quantity': 1.0, 'unit': 'caj'}, {'material': 'CJ13', 'description': 'CAJA DAMM+BOT.1/3RET VACIO EN P.PLAS.A13', 'quantity': 1.0, 'unit': 'caj'}, {'material': 'ED30', 'description': 'ESTRELLA DAMM BARRIL 30', 'quantity': 5.0, 'unit': 'brl'}, {'material': 'BRL30V', 'description': 'BARRIL INOX 30L. EURONORMA', 'quantity': 5.0, 'unit': 'brl'}, {'material': 'VE13SP', 'description': 'AGUA VERI 1/3 PET CAJA 35U. T.TH', 'quantity': 13.0, 'unit': 'caj'}, {'material': '0RF0018', 'description': '/-COCA COLA ZERO 2L PET 6U', 'quantity': 9.0, 'unit': 'caj'}, {'material': '0RF0124', 'description': '/-COCA COLA 2L PET 6U', 'quantity': 9.0, 'unit': 'caj'}, {'material': '0RF0168', 'description': '/-FANTA NARANJA 2L PET 6U', 'quantity': 10.0, 'unit': 'caj'}, {'material': 'TB8', 'description': 'BOTELLAS CARBONICO\xa08 KILOS', 'quantity': 1.0, 'unit': 'tb'}, {'material': 'TB8V', 'description': 'BOTELLAS CARBONICO 8 KG.VACIOS', 'quantity': 1.0, 'unit': 'tb'}, {'material': 'BRL30V', 'description': 'BARRIL INOX 30L. EURONORMA', 'quantity': 26.0, 'unit': 'brl'}, {'material': 'CJ13', 'description': 'CAJA DAMM+BOT.1/3RET VACIO EN P.PLAS.A13', 'quantity': 2.0, 'unit': 'caj'}, {'material': 'TB8V', 'description': 'BOTELLAS CARBONICO 8 KG.VACIOS', 'quantity': 1.0, 'unit': 'tb'}]"
2026-01-30,AUTENTIK'S,['11420324'],1,50,"[{'material': '0LM2484', 'description': 'COMBO VASO+TAPA NAT 8OZ 250CC 50U', 'quantity': 50.0, 'unit': 'pak'}]"
2026-01-30,BAR 28,['11420414'],3,3,"[{'material': 'NTL13LT6', 'description': 'NESTEA LIMON 1/3 LATA 4U-PACK 6U.', 'quantity': 1.0, 'unit': 'caj'}, {'material': 'VO13', 'description': 'VOLL-DAMM 1/3 RET.', 'quantity': 1.0, 'unit': 'caj'}, {'material': 'CJ13', 'description': 'CAJA DAMM+BOT.1/3RET VACIO EN P.PLAS.A13', 'quantity': 1.0, 'unit': 'caj'}]"
2026-01-30,BAR CHAMPANILLO,['11420379'],6,10,"[{'material': 'DL30', 'description': 'DAMM LEMON BARRIL 30', 'quantity': 1.0, 'unit': 'brl'}, {'material': 'BRL30V', 'description': 'BARRIL INOX 30L. EURONORMA', 'quantity': 1.0, 'unit': 'brl'}, {'material': 'ED30', 'description': 'ESTRELLA DAMM BARRIL 30', 'quantity': 3.0, 'unit': 'brl'}, {'material': 'BRL30V', 'description': 'BARRIL INOX 30L. EURONORMA', 'quantity': 3.0, 'unit': 'brl'}, {'material': 'TU30', 'description': 'TURIA BARRIL 30L.', 'quantity': 1.0, 'unit': 'brl'}, {'material': 'BRL30V', 'description': 'BARRIL INOX 30L. EURONORMA', 'quantity': 1.0, 'unit': 'brl'}]"
2026-01-30,BAR DOBLE Z,['11420461'],4,6,"[{'material': 'ED13', 'description': 'ESTRELLA DAMM 1/3 RET. PP', 'quantity': 2.0, 'unit': 'caj'}, {'material': 'CJ13', 'description': 'CAJA DAMM+BOT.1/3RET VACIO EN P.PLAS.A13', 'quantity': 2.0, 'unit': 'caj'}, {'material': 'ED13', 'description': 'ESTRELLA DAMM 1/3 RET. PP', 'quantity': 1.0, 'unit': 'caj'}, {'material': 'CJ13', 'description': 'CAJA DAMM+BOT.1/3RET VACIO EN P.PLAS.A13', 'quantity': 1.0, 'unit': 'caj'}]"
2026-01-30,BAR GRANADA,['11420379'],6,20,"[{'material': 'ED13', 'description': 'ESTRELLA DAMM 1/3 RET. PP', 'quantity': 6.0, 'unit': 'caj'}, {'material': 'CJ13', 'description': 'CAJA DAMM+BOT.1/3RET VACIO EN P.PLAS.A13', 'quantity': 6.0, 'unit': 'caj'}, {'material': '0LT0009', 'description': 'LETONA GRAN CREME 1L VR 12U', 'quantity': 1.0, 'unit': 'caj'}, {'material': '3ENV1281', 'description': 'C.C. LECHE LETONA (NUEVO)', 'quantity': 1.0, 'unit': 'caj'}, {'material': 'ED13', 'description': 'ESTRELLA DAMM 1/3 RET. PP', 'quantity': 3.0, 'unit': 'caj'}, {'material': 'CJ13', 'description': 'CAJA DAMM+BOT.1/3RET VACIO EN P.PLAS.A13', 'quantity': 3.0, 'unit': 'caj'}]"
2026-01-30,BAR JALEY BAKERY,['11420414'],10,29,"[{'material': '0AG0007', 'description': 'FONT D.OR NATURAL 1,5L PET 12U', 'quantity': 1.0, 'unit': 'caj'}, {'material': '0LT0103', 'description': 'YOSOY AVENA BARISTA 1L BRIK 6U', 'quantity': 2.0, 'unit': 'caj'}, {'material': '0LT0090', 'description': 'LETONA SEMI SIN LACTOSA 1L PET 6U', 'quantity': 2.0, 'unit': 'caj'}, {'material': '0LT0033', 'description': 'LETONA GRAN CREME PET 1,5L PET 6U', 'quantity': 4.0, 'unit': 'caj'}, {'material': '0LT0035', 'description': 'LETONA DESNATADA 0% HOST 1,5L PET 6U', 'quantity': 1.0, 'unit': 'caj'}, {'material': '0VE1419', 'description': 'EL COTO TINTO CRIANZA 75CL 1U', 'quantity': 12.0, 'unit': 'un'}, {'material': '0AM0874', 'description': 'DIETILINEA EDULCORANTE    100U', 'quantity': 3.0, 'unit': 'un'}, {'material': '0AM0783', 'description': 'LOTUS BISCOFF 300U', 'quantity': 2.0, 'unit': 'caj'}, {'material': '0AG0004', 'description': 'FONT D.OR NATURAL 1/2 PET 24U', 'quantity': 1.0, 'unit': 'caj'}, {'material': '0AM0783', 'description': 'LOTUS BISCOFF 300U', 'quantity': 1.0, 'unit': 'caj'}]"
2026-01-30,BAR LA GRALLA,['11420416'],8,13,"[{'material': '0LT0032', 'description': 'CACAOLAT VIDRIO 20CL RET 30U', 'quantity': 1.0, 'unit': 'caj'}, {'material': '3ENV0029', 'description': 'C.C. CACAOLAT 30 U.', 'quantity': 1.0, 'unit': 'caj'}, {'material': '0LT0033', 'description': 'LETONA GRAN CREME PET 1,5L PET 6U', 'quantity': 5.0, 'unit': 'caj'}, {'material': '0LT0035', 'description': 'LETONA DESNATADA 0% HOST 1,5L PET 6U', 'quantity': 1.0, 'unit': 'caj'}, {'material': '0AM0876', 'description': 'AZUCAR MORENO CEPAC 6G 500U', 'quantity': 1.0, 'unit': 'caj'}, {'material': '0AM1290', 'description': 'XPLICIT AZUCAR 7GR  1000U', 'quantity': 1.0, 'unit': 'caj'}, {'material': '0LM2484', 'description': 'COMBO VASO+TAPA NAT 8OZ 250CC 50U', 'quantity': 1.0, 'unit': 'pak'}, {'material': '0LM2488', 'description': 'COMBO VASO+TAPA NAT 7OZ 200CC 50U', 'quantity': 2.0, 'unit': 'pak'}]"
